# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.645389770e-05 2.645389770e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.660680886e-02 1.344699781e-04 1.344699781e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.036986169e-01 1.575572069e-04 1.575572069e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.113110273e-01 1.599514569e-04 1.599514569e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.194822571e-01 1.393196861e-04 1.393196861e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.282533286e-01 1.533707685e-04 1.533707685e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.376682756e-01 1.396821324e-04 1.396821324e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.477743643e-01 1.370787954e-04 1.370787954e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.586223307e-01 1.164239621e-04 1.164239621e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.702666354e-01 1.229111194e-04 1.229111194e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.827657366e-01 1.184850315e-04 1.184850315e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.961823843e-01 1.110291283e-04 1.110291283e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.105839344e-01 1.062838825e-04 1.062838825e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.260426878e-01 1.011641655e-04 1.011641655e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.426362526e-01 9.377014807e-05 9.377014807e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.604479342e-01 8.669771632e-05 8.669771632e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.795671533e-01 7.747945309e-05 7.747945309e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.000898949e-01 7.042407723e-05 7.042407723e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.221191902e-01 6.518582367e-05 6.518582367e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.457656338e-01 6.165936847e-05 6.165936847e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.711479388e-01 5.378148576e-05 5.378148576e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.983935331e-01 5.301209955e-05 5.301209955e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.276391989e-01 4.922331830e-05 4.922331830e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.590317595e-01 4.190308210e-05 4.190308210e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.927288161e-01 3.631594695e-05 3.631594695e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
5.288995395e-01 3.355126718e-05 3.355126718e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
5.677255191e-01 2.979269687e-05 2.979269687e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
6.094016745e-01 2.730515609e-05 2.730515609e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
6.541372343e-01 2.505331327e-05 2.505331327e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.021567862e-01 2.286832447e-05 2.286832447e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.537014048e-01 2.042894066e-05 2.042894066e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.090298617e-01 1.786977427e-05 1.786977427e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.684199246e-01 1.514387752e-05 1.514387752e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.321697518e-01 1.354079898e-05 1.354079898e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.000599389e+00 1.155627564e-05 1.155627564e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.074052377e+00 1.024894883e-05 1.024894883e-05 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.152897474e+00 8.842369965e-06 8.842369965e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.237530511e+00 8.062219290e-06 8.062219290e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.328376372e+00 6.984762229e-06 6.984762229e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.425891136e+00 6.060283210e-06 6.060283210e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.530564361e+00 5.436561538e-06 5.436561538e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.642921540e+00 4.739565642e-06 4.739565642e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.763526747e+00 4.230874998e-06 4.230874998e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.892985460e+00 3.605800182e-06 3.605800182e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.031947605e+00 3.225034665e-06 3.225034665e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.181110821e+00 2.912957949e-06 2.912957949e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.341223958e+00 2.614998792e-06 2.614998792e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.513090838e+00 2.276364658e-06 2.276364658e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.697574291e+00 1.989636700e-06 1.989636700e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.895600488e+00 1.750804978e-06 1.750804978e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.108163587e+00 1.506005430e-06 1.506005430e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.336330729e+00 1.303424691e-06 1.303424691e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.581247389e+00 1.149941472e-06 1.149941472e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.844143133e+00 9.943325452e-07 9.943325452e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.126337788e+00 8.614075381e-07 8.614075381e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.429248066e+00 7.561346139e-07 7.561346139e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.754394681e+00 6.558474400e-07 6.558474400e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
5.103409980e+00 5.744138685e-07 5.744138685e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
5.478046138e+00 4.937642864e-07 4.937642864e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
5.880183958e+00 4.326628975e-07 4.326628975e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
6.311842307e+00 3.670450214e-07 3.670450214e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
6.775188259e+00 3.355561633e-07 3.355561633e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.272547968e+00 2.831255407e-07 2.831255407e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.806418350e+00 2.409046826e-07 2.409046826e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.379479615e+00 2.147715610e-07 2.147715610e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.994608728e+00 1.791763590e-07 1.791763590e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.654893846e+00 1.553272280e-07 1.553272280e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.036364983e+01 1.393144336e-07 1.393144336e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.112443486e+01 1.215626416e-07 1.215626416e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.194106836e+01 1.034222593e-07 1.034222593e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.281765010e+01 9.230345713e-08 9.230345713e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.375858081e+01 7.889836540e-08 7.889836540e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.476858430e+01 6.745597865e-08 6.745597865e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.585273111e+01 5.782240841e-08 5.782240841e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.701646405e+01 5.133205564e-08 5.133205564e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.826562544e+01 4.382551693e-08 4.382551693e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.960648651e+01 3.822163004e-08 3.822163004e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.104577883e+01 3.242125864e-08 3.242125864e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.259072814e+01 2.872509719e-08 2.872509719e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.424909062e+01 2.436081031e-08 2.436081031e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.602919180e+01 2.162010150e-08 2.162010150e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.793996841e+01 1.838892691e-08 1.838892691e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.999101320e+01 1.566914102e-08 1.566914102e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.219262311e+01 1.380960403e-08 1.380960403e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.455585097e+01 1.223756307e-08 1.223756307e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.709256100e+01 1.048892665e-08 1.048892665e-08 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
3.981548833e+01 9.051118792e-09 9.051118792e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.273830301e+01 7.943103243e-09 7.943103243e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.587567856e+01 6.850030645e-09 6.850030645e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
4.924336566e+01 6.019614171e-09 6.019614171e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
5.285827127e+01 5.021786385e-09 5.021786385e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
5.673854343e+01 4.348155853e-09 4.348155853e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
6.090366245e+01 3.727916191e-09 3.727916191e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
6.537453863e+01 3.303162983e-09 3.303162983e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.017361731e+01 2.781864441e-09 2.781864441e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.532499149e+01 2.442035252e-09 2.442035252e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.085452284e+01 2.115782474e-09 2.115782474e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.678997148e+01 1.807266105e-09 1.807266105e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.316113539e+01 1.619374013e-09 1.619374013e-09 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.000000000e+02 7.096603450e-10 7.096603450e-10 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
