# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 9.944927992e-05 3.372666938e-03 6.264233072e-05 3.680694920e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 7.214332068e-04 1.749200766e-02 4.500319453e-04 2.714012615e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.569455687e-03 2.055857234e-02 9.849183964e-04 5.845372904e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 3.054316094e-03 2.225541866e-02 1.959999677e-03 1.094316418e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 4.485960286e-03 2.163377414e-02 2.939126228e-03 1.546834058e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 4.984928919e-03 1.908270407e-02 3.295240970e-03 1.689687948e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 6.591172404e-03 2.019653453e-02 4.519206184e-03 2.071966220e-03 0.000000000e+00 0.000000000e+00
1.354351729e-01 7.398110885e-03 1.960104312e-02 5.265777119e-03 2.132333766e-03 0.000000000e+00 0.000000000e+00
1.435777131e-01 7.708002658e-03 1.824326481e-02 5.668093274e-03 2.039909384e-03 0.000000000e+00 0.000000000e+00
1.522097936e-01 7.980179984e-03 1.731195568e-02 5.998901131e-03 1.981278854e-03 0.000000000e+00 0.000000000e+00
1.613608460e-01 8.016142717e-03 1.653195943e-02 6.053642076e-03 1.962500641e-03 0.000000000e+00 0.000000000e+00
1.710620718e-01 7.656865183e-03 1.602950934e-02 5.774860788e-03 1.882004395e-03 0.000000000e+00 0.000000000e+00
1.813465479e-01 6.724907540e-03 1.538073468e-02 5.070424708e-03 1.654482832e-03 0.000000000e+00 0.000000000e+00
1.922493402e-01 5.217893779e-03 1.446827943e-02 3.950412469e-03 1.267481310e-03 0.000000000e+00 0.000000000e+00
2.038076228e-01 3.778966813e-03 1.352918646e-02 2.884995717e-03 8.939710964e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 3.466688792e-03 1.329937901e-02 2.653439073e-03 8.132497188e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 4.138391243e-03 1.243988682e-02 3.132606711e-03 1.005784531e-03 0.000000000e+00 0.000000000e+00
2.428214897e-01 5.139672394e-03 1.164032767e-02 3.893396918e-03 1.246275476e-03 0.000000000e+00 0.000000000e+00
2.574202362e-01 5.784526713e-03 1.093851002e-02 4.462757702e-03 1.321769011e-03 0.000000000e+00 0.000000000e+00
2.728966785e-01 6.052066011e-03 1.034162538e-02 4.796666095e-03 1.255399916e-03 0.000000000e+00 0.000000000e+00
2.893035848e-01 6.161386899e-03 9.819829248e-03 5.018975045e-03 1.142411854e-03 0.000000000e+00 0.000000000e+00
3.066968958e-01 6.084273872e-03 9.185682572e-03 5.073229996e-03 1.011043876e-03 0.000000000e+00 0.000000000e+00
3.251359155e-01 5.899384660e-03 8.512410172e-03 5.018097500e-03 8.812871601e-04 0.000000000e+00 0.000000000e+00
3.446835132e-01 5.736574317e-03 7.975815515e-03 4.957644831e-03 7.789294864e-04 0.000000000e+00 0.000000000e+00
3.654063382e-01 5.725886152e-03 7.688333667e-03 5.029580525e-03 6.963056273e-04 0.000000000e+00 0.000000000e+00
3.873750465e-01 7.184526356e-03 9.213102616e-03 6.464439319e-03 7.200870374e-04 0.000000000e+00 0.000000000e+00
4.106645425e-01 7.779017548e-03 9.628536039e-03 7.106578997e-03 6.724385515e-04 0.000000000e+00 0.000000000e+00
4.353542335e-01 7.458310897e-03 9.038269083e-03 6.879900044e-03 5.784108528e-04 0.000000000e+00 0.000000000e+00
