# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.969825087e-03 3.384336267e-03 2.879618269e-03 9.020681830e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.562475298e-02 1.756016539e-02 1.515263347e-02 4.721195155e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.875427757e-02 2.059029724e-02 1.820819241e-02 5.460851535e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 2.071649099e-02 2.227723927e-02 2.013995398e-02 5.765370084e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.039705847e-02 2.163083342e-02 1.985729163e-02 5.397668419e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.815305647e-02 1.912038552e-02 1.769846653e-02 4.545899426e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.930806049e-02 2.022213311e-02 1.883782223e-02 4.702382634e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.867515926e-02 1.948854423e-02 1.823220725e-02 4.429520089e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.759551453e-02 1.830553257e-02 1.719016074e-02 4.053537898e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.669433550e-02 1.733597740e-02 1.633529948e-02 3.590360237e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.589567608e-02 1.649544899e-02 1.556374692e-02 3.319291551e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.549386899e-02 1.608777198e-02 1.514947588e-02 3.443931012e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.460756279e-02 1.522645438e-02 1.426287227e-02 3.446905170e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.384094787e-02 1.452426737e-02 1.347614169e-02 3.648061814e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.276134474e-02 1.350923169e-02 1.238627640e-02 3.750683427e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.256702967e-02 1.331711407e-02 1.216901699e-02 3.980126815e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.194361245e-02 1.252171960e-02 1.155201997e-02 3.915924846e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.122783052e-02 1.164384764e-02 1.085048274e-02 3.773477768e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.065041812e-02 1.097789593e-02 1.029550011e-02 3.549180119e-04 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.005939248e-02 1.033705059e-02 9.728433658e-03 3.309588167e-04 0.000000000e+00 0.000000000e+00
2.893035848e-01 9.553043190e-03 9.801647029e-03 9.249276005e-03 3.037671845e-04 0.000000000e+00 0.000000000e+00
3.066968958e-01 8.962652781e-03 9.179155886e-03 8.682219824e-03 2.804329568e-04 0.000000000e+00 0.000000000e+00
3.251359155e-01 8.295029817e-03 8.489672219e-03 8.040485193e-03 2.545446238e-04 0.000000000e+00 0.000000000e+00
3.446835132e-01 7.779898971e-03 7.950674353e-03 7.537910898e-03 2.419880724e-04 0.000000000e+00 0.000000000e+00
