# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.064252342e-03 3.390234677e-03 1.893381464e-03 1.708708780e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.114106020e-02 1.750940896e-02 1.019846358e-02 9.425966213e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.417409596e-02 2.054850201e-02 1.298822119e-02 1.185874765e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.659361235e-02 2.224741758e-02 1.525986782e-02 1.333744531e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.707226471e-02 2.161141615e-02 1.580903792e-02 1.263226785e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.565741781e-02 1.911304106e-02 1.456762443e-02 1.089793381e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.700985651e-02 2.017350801e-02 1.592814826e-02 1.081708256e-03 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.680758332e-02 1.951279132e-02 1.583412922e-02 9.734541027e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.590071755e-02 1.816399793e-02 1.507492287e-02 8.257946863e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.544529478e-02 1.741153396e-02 1.469727762e-02 7.480171509e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.476308591e-02 1.653517425e-02 1.407125146e-02 6.918344527e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.430352384e-02 1.604725602e-02 1.362135957e-02 6.821642722e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.350551996e-02 1.537035505e-02 1.285136781e-02 6.541521541e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.235047512e-02 1.448782547e-02 1.172847662e-02 6.219984978e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.107290191e-02 1.354946405e-02 1.049445785e-02 5.784440633e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.076218163e-02 1.331867682e-02 1.018325176e-02 5.789298782e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.047932018e-02 1.246104873e-02 9.917854956e-03 5.614652205e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.020678145e-02 1.159781190e-02 9.684329334e-03 5.224521169e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 9.920894631e-03 1.096323921e-02 9.459894314e-03 4.610003177e-04 0.000000000e+00 0.000000000e+00
2.728966785e-01 9.471202513e-03 1.030617291e-02 9.078319808e-03 3.928827048e-04 0.000000000e+00 0.000000000e+00
2.893035848e-01 9.097824053e-03 9.802079578e-03 8.765732816e-03 3.320912361e-04 0.000000000e+00 0.000000000e+00
3.066968958e-01 8.551600875e-03 9.144315270e-03 8.275325570e-03 2.762753056e-04 0.000000000e+00 0.000000000e+00
3.251359155e-01 7.987776655e-03 8.485632694e-03 7.755151610e-03 2.326250450e-04 0.000000000e+00 0.000000000e+00
3.446835132e-01 7.497127286e-03 7.918701577e-03 7.300027025e-03 1.971002611e-04 0.000000000e+00 0.000000000e+00
3.654063382e-01 7.285747767e-03 7.655952604e-03 7.114271593e-03 1.714761734e-04 0.000000000e+00 0.000000000e+00
3.873750465e-01 8.874965025e-03 9.274816841e-03 8.694531772e-03 1.804332533e-04 0.000000000e+00 0.000000000e+00
4.106645425e-01 9.313653258e-03 9.684071953e-03 9.147767841e-03 1.658854177e-04 0.000000000e+00 0.000000000e+00
4.353542335e-01 8.681210740e-03 8.991560077e-03 8.540943542e-03 1.402671976e-04 0.000000000e+00 0.000000000e+00
4.615283011e-01 8.395911131e-03 8.665201018e-03 8.275333867e-03 1.205772640e-04 0.000000000e+00 0.000000000e+00
4.892759879e-01 7.770628281e-03 7.995927056e-03 7.669692409e-03 1.009358716e-04 0.000000000e+00 0.000000000e+00
5.186919022e-01 7.508493216e-03 7.702461030e-03 7.422913257e-03 8.557995871e-05 0.000000000e+00 0.000000000e+00
5.498763397e-01 7.191332394e-03 7.360285189e-03 7.119551159e-03 7.178123471e-05 0.000000000e+00 0.000000000e+00
5.829356266e-01 6.965664367e-03 7.113556395e-03 6.904994645e-03 6.066972169e-05 0.000000000e+00 0.000000000e+00
6.179824811e-01 6.703906643e-03 6.830826521e-03 6.652643469e-03 5.126317336e-05 0.000000000e+00 0.000000000e+00
6.551363985e-01 6.432856475e-03 6.544655896e-03 6.389697205e-03 4.315926967e-05 0.000000000e+00 0.000000000e+00
6.945240582e-01 6.302176803e-03 6.399827786e-03 6.265029709e-03 3.714709395e-05 0.000000000e+00 0.000000000e+00
7.362797556e-01 6.061807267e-03 6.147110461e-03 6.031321111e-03 3.048615615e-05 0.000000000e+00 0.000000000e+00
7.805458603e-01 5.858562181e-03 5.932728993e-03 5.832862058e-03 2.570012342e-05 0.000000000e+00 0.000000000e+00
8.274733014e-01 5.606964063e-03 5.670810195e-03 5.585462112e-03 2.150195108e-05 0.000000000e+00 0.000000000e+00
8.772220817e-01 5.554750211e-03 5.612114517e-03 5.536004605e-03 1.874560599e-05 0.000000000e+00 0.000000000e+00
9.299618239e-01 5.421296401e-03 5.471556304e-03 5.405503746e-03 1.579265473e-05 0.000000000e+00 0.000000000e+00
9.858723487e-01 5.202755579e-03 5.245915646e-03 5.189788277e-03 1.296730151e-05 2.418800113e-226 9.485412708e-229
1.045144288e+00 4.882562000e-03 4.919170819e-03 4.872100960e-03 1.046104011e-05 2.137500753e-213 7.983823271e-216
1.107979733e+00 4.550296543e-03 4.580792457e-03 4.541854759e-03 8.441784541e-06 1.713816954e-200 5.308423081e-203
1.174592928e+00 4.343428786e-03 4.369645006e-03 4.336411259e-03 7.017526863e-06 3.083029460e-189 1.008758143e-191
1.245210996e+00 4.064624298e-03 4.086861327e-03 4.058990614e-03 5.633684125e-06 1.535103035e-178 4.263497743e-181
1.320074714e+00 3.919046146e-03 3.938215577e-03 3.914431069e-03 4.615076656e-06 6.966126919e-168 1.165614840e-170
1.399439338e+00 3.757625015e-03 3.774124334e-03 3.753875274e-03 3.749740434e-06 2.801859886e-158 5.195780235e-161
1.483575466e+00 3.612950410e-03 3.627181334e-03 3.609880621e-03 3.069789820e-06 4.617748018e-149 6.553447437e-152
1.572769969e+00 3.562759743e-03 3.575393063e-03 3.560206941e-03 2.552801823e-06 1.961342178e-140 2.763154376e-143
1.667326963e+00 3.497170320e-03 3.508243583e-03 3.495034070e-03 2.136249753e-06 3.863228245e-132 6.079667958e-135
1.767568847e+00 3.280718585e-03 3.290216044e-03 3.279029654e-03 1.688931087e-06 1.464985716e-124 1.521885125e-127
1.873837405e+00 3.013865166e-03 3.021888960e-03 3.012552540e-03 1.312626247e-06 2.343835493e-117 2.052487244e-120
1.986494968e+00 2.798353564e-03 2.805070231e-03 2.797330122e-03 1.023441949e-06 2.780431675e-110 1.995385794e-113
2.105925651e+00 2.600663236e-03 2.606326246e-03 2.599869772e-03 7.934638047e-07 9.028111861e-104 6.335751273e-107
2.232536664e+00 2.354139614e-03 2.358845380e-03 2.353532893e-03 6.067212740e-07 8.873256059e-98 4.976851235e-101
2.366759696e+00 2.143463630e-03 2.147452845e-03 2.143008807e-03 4.548228110e-07 6.152446896e-92 3.005610436e-95
2.509052394e+00 1.851041036e-03 1.854231175e-03 1.850711241e-03 3.297957196e-07 1.608899370e-86 6.633066314e-90
2.659899915e+00 1.800330125e-03 1.803130447e-03 1.800080113e-03 2.500123928e-07 1.686002821e-81 5.494070717e-85
2.819816587e+00 1.704749992e-03 1.707173078e-03 1.704560737e-03 1.892549131e-07 1.438006863e-76 4.070894521e-80
2.989347660e+00 1.456099003e-03 1.458008835e-03 1.455965624e-03 1.333790054e-07 5.046808209e-72 1.136622595e-75
3.169071162e+00 1.304855691e-03 1.306407287e-03 1.304759316e-03 9.637531452e-08 9.764065220e-68 1.860364220e-71
3.359599877e+00 1.243540975e-03 1.244892731e-03 1.243470600e-03 7.037496978e-08 1.083426547e-63 1.611687364e-67
3.561583429e+00 1.176557115e-03 1.177710696e-03 1.176506083e-03 5.103166233e-08 7.150005605e-60 7.994379555e-64
3.775710497e+00 1.002848732e-03 1.003776015e-03 1.002817758e-03 3.097471275e-08 2.988775785e-56 1.981411855e-60
4.002711165e+00 9.136924474e-04 9.144655531e-04 9.136724308e-04 2.001660417e-08 7.486913140e-53 2.213225038e-57
4.243359411e+00 8.607268219e-04 8.613939998e-04 8.607160499e-04 1.077200681e-08 1.350050811e-49 7.386332070e-55
4.498475745e+00 7.436960677e-04 7.442313466e-04 7.436922470e-04 3.820659844e-09 1.328807071e-46 4.360108508e-53
4.768930007e+00 6.534860141e-04 6.539234515e-04 6.534855117e-04 5.023946545e-10 9.423278257e-44 3.078834290e-52
5.055644335e+00 5.894526236e-04 5.898180619e-04 5.894526231e-04 5.109479013e-13 4.545373611e-41 7.371791399e-55
5.359596304e+00 5.360627227e-04 5.363684503e-04 5.360627227e-04 0.000000000e+00 1.513293010e-38 0.000000000e+00
5.681822265e+00 4.952466790e-04 4.955049429e-04 4.952466790e-04 0.000000000e+00 3.719770900e-36 0.000000000e+00
6.023420872e+00 4.544929132e-04 4.547151105e-04 4.544929132e-04 0.000000000e+00 6.647805378e-34 0.000000000e+00
6.385556837e+00 4.004753784e-04 4.006593873e-04 4.004753784e-04 0.000000000e+00 8.661869871e-32 0.000000000e+00
6.769464890e+00 3.568919929e-04 3.570432444e-04 3.568919929e-04 0.000000000e+00 8.785785880e-30 0.000000000e+00
7.176453999e+00 3.221949774e-04 3.223308179e-04 3.221949774e-04 0.000000000e+00 7.125654971e-28 0.000000000e+00
7.607911827e+00 2.899467933e-04 2.900854996e-04 2.899467933e-04 0.000000000e+00 4.819818778e-26 0.000000000e+00
