# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 9.864435494e-05 3.384527676e-03 7.253834205e-05 2.610601289e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 6.243938623e-04 1.748410064e-02 4.369471896e-04 1.874466728e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.170619593e-03 2.062306067e-02 7.634416353e-04 4.071779575e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 2.077208237e-03 2.224206274e-02 1.283450695e-03 7.937575420e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.878608674e-03 2.161418474e-02 1.719303356e-03 1.159305318e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 3.006676958e-03 1.908572601e-02 1.675642297e-03 1.331034661e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 3.892510289e-03 2.020865884e-02 2.231091351e-03 1.661418939e-03 0.000000000e+00 0.000000000e+00
1.354351729e-01 4.242887663e-03 1.954565557e-02 2.466173159e-03 1.776714504e-03 0.000000000e+00 0.000000000e+00
1.435777131e-01 4.362265621e-03 1.817138624e-02 2.548006119e-03 1.814259502e-03 0.000000000e+00 0.000000000e+00
1.522097936e-01 4.457461242e-03 1.726240984e-02 2.635309671e-03 1.822151571e-03 0.000000000e+00 0.000000000e+00
1.613608460e-01 4.426004058e-03 1.651084451e-02 2.638434446e-03 1.787569613e-03 0.000000000e+00 0.000000000e+00
1.710620718e-01 4.142692119e-03 1.603018476e-02 2.472803932e-03 1.669888187e-03 0.000000000e+00 0.000000000e+00
1.813465479e-01 3.608734166e-03 1.541544053e-02 2.165610708e-03 1.443123458e-03 0.000000000e+00 0.000000000e+00
1.922493402e-01 2.861672527e-03 1.455437121e-02 1.766995004e-03 1.094677523e-03 0.000000000e+00 0.000000000e+00
2.038076228e-01 2.176907009e-03 1.352512582e-02 1.421231362e-03 7.556756471e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 2.085974649e-03 1.331946698e-02 1.353492976e-03 7.324816726e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 2.504639352e-03 1.248946923e-02 1.476167541e-03 1.028471811e-03 0.000000000e+00 0.000000000e+00
2.428214897e-01 3.062254662e-03 1.163197704e-02 1.634408231e-03 1.427846431e-03 0.000000000e+00 0.000000000e+00
2.574202362e-01 3.474406394e-03 1.087694932e-02 1.760911992e-03 1.713494402e-03 0.000000000e+00 0.000000000e+00
2.728966785e-01 3.709660313e-03 1.033577658e-02 1.860759621e-03 1.848900693e-03 0.000000000e+00 0.000000000e+00
2.893035848e-01 3.783108604e-03 9.814689691e-03 1.938488091e-03 1.844620513e-03 0.000000000e+00 0.000000000e+00
3.066968958e-01 3.773405257e-03 9.135262922e-03 1.979236000e-03 1.794169257e-03 0.000000000e+00 0.000000000e+00
3.251359155e-01 3.663012339e-03 8.465489594e-03 1.967760161e-03 1.695252178e-03 0.000000000e+00 0.000000000e+00
3.446835132e-01 3.606216041e-03 7.946777186e-03 1.988714255e-03 1.617501787e-03 0.000000000e+00 0.000000000e+00
3.654063382e-01 3.694745006e-03 7.714633714e-03 2.092259458e-03 1.602485548e-03 0.000000000e+00 0.000000000e+00
3.873750465e-01 4.862706742e-03 9.250528646e-03 3.094283750e-03 1.768422992e-03 0.000000000e+00 0.000000000e+00
4.106645425e-01 5.452920968e-03 9.631000838e-03 3.658390583e-03 1.794530384e-03 0.000000000e+00 0.000000000e+00
4.353542335e-01 5.246640319e-03 9.040385067e-03 3.561739788e-03 1.684900531e-03 0.000000000e+00 0.000000000e+00
4.615283011e-01 5.301054919e-03 8.716094429e-03 3.705902731e-03 1.595152188e-03 0.000000000e+00 0.000000000e+00
4.892759879e-01 4.984927659e-03 8.058751251e-03 3.518399087e-03 1.466528572e-03 0.000000000e+00 0.000000000e+00
5.186919022e-01 4.956673690e-03 7.696753523e-03 3.579171038e-03 1.377502652e-03 0.000000000e+00 0.000000000e+00
5.498763397e-01 4.884465043e-03 7.373305198e-03 3.596585449e-03 1.287879594e-03 0.000000000e+00 0.000000000e+00
