# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 7.981714924e-05 1.980769611e-01 7.451090242e-05 5.306246820e-06 0.000000000e+00 0.000000000e+00
9.541091806e-02 6.689627315e-04 1.388094647e+00 6.319323134e-04 3.703041814e-05 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.280496867e-03 1.887383942e+00 1.196288357e-03 8.420850978e-05 0.000000000e+00 0.000000000e+00
1.072282468e-01 2.209658372e-03 2.331722677e+00 1.969603890e-03 2.400544825e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.683448946e-03 2.323709939e+00 2.365411919e-03 3.180370272e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 2.447157056e-03 1.933487266e+00 2.181722893e-03 2.654341629e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 3.936336173e-03 2.310475727e+00 3.333522678e-03 6.028134956e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 4.746833433e-03 2.322096562e+00 3.988615929e-03 7.582175046e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 5.240212631e-03 2.233911837e+00 4.394501876e-03 8.457107554e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 5.648572212e-03 2.124732777e+00 4.719426749e-03 9.291454630e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 6.003523256e-03 2.080055053e+00 4.901801050e-03 1.101722207e-03 0.000000000e+00 0.000000000e+00
1.710620718e-01 5.778577177e-03 2.050315364e+00 4.828392671e-03 9.501845054e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 5.383003401e-03 1.982333754e+00 4.710538025e-03 6.724653757e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 4.254151039e-03 1.887726288e+00 3.813471098e-03 4.406799412e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 2.709985831e-03 1.853507492e+00 2.474210984e-03 2.357748467e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 2.876019056e-03 1.821252416e+00 2.622151032e-03 2.538680243e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 3.511830704e-03 1.729904031e+00 3.154067349e-03 3.577633557e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 4.519289978e-03 1.662378824e+00 3.893703885e-03 6.255860930e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 6.166930870e-03 1.612776245e+00 5.199708383e-03 9.672224869e-04 0.000000000e+00 0.000000000e+00
2.728966785e-01 7.472147426e-03 1.577290798e+00 6.251451744e-03 1.220695682e-03 0.000000000e+00 0.000000000e+00
2.893035848e-01 8.576883145e-03 1.544496101e+00 7.150963559e-03 1.425919587e-03 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.012302140e-02 1.494594496e+00 8.359308715e-03 1.763712689e-03 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.130341986e-02 1.436304060e+00 9.349162938e-03 1.954256921e-03 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.284602743e-02 1.397323117e+00 1.058601379e-02 2.260013637e-03 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.540555903e-02 1.415721620e+00 1.268134214e-02 2.724216888e-03 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.702352333e-02 1.977519906e+00 2.222320565e-02 4.800317685e-03 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.525642151e-02 2.200046071e+00 2.900330075e-02 6.253120762e-03 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.754627431e-02 2.116947513e+00 3.091020407e-02 6.636070243e-03 0.000000000e+00 0.000000000e+00
4.615283011e-01 4.374933669e-02 2.120778333e+00 3.585729723e-02 7.892039462e-03 0.000000000e+00 0.000000000e+00
4.892759879e-01 4.490275110e-02 1.982109075e+00 3.684295819e-02 8.059792906e-03 0.000000000e+00 0.000000000e+00
5.186919022e-01 4.931528815e-02 1.951312821e+00 4.050448001e-02 8.810808143e-03 0.000000000e+00 0.000000000e+00
5.498763397e-01 5.400899312e-02 1.919509544e+00 4.459313842e-02 9.415854693e-03 0.000000000e+00 0.000000000e+00
5.829356266e-01 5.925956835e-02 1.906779193e+00 4.876411391e-02 1.049545444e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 6.401194391e-02 1.878878270e+00 5.267239422e-02 1.133954969e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 6.739035713e-02 1.831194802e+00 5.527562613e-02 1.211473100e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 7.735040673e-02 1.840349288e+00 6.370979165e-02 1.364061509e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 8.377942736e-02 1.810548460e+00 6.894072163e-02 1.483870573e-02 0.000000000e+00 0.000000000e+00
7.805458603e-01 8.887845825e-02 1.783605339e+00 7.325357696e-02 1.562488129e-02 0.000000000e+00 0.000000000e+00
8.274733014e-01 9.728327051e-02 1.751260123e+00 8.052148760e-02 1.676178290e-02 0.000000000e+00 0.000000000e+00
8.772220817e-01 1.049689776e-01 1.745273430e+00 8.676526847e-02 1.820370910e-02 0.000000000e+00 0.000000000e+00
9.299618239e-01 1.160524277e-01 1.748732830e+00 9.628881386e-02 1.976361383e-02 0.000000000e+00 0.000000000e+00
9.858723487e-01 1.206839770e-01 1.693042251e+00 1.005883895e-01 2.009558751e-02 2.304172192e-142 6.723296343e-143
1.045144288e+00 1.285467362e-01 1.620195738e+00 1.075997887e-01 2.094694744e-02 1.301301614e-130 4.806486183e-132
1.107979733e+00 1.343656842e-01 1.538138684e+00 1.127439450e-01 2.162173920e-02 3.152579948e-123 5.695427040e-124
1.174592928e+00 1.397410115e-01 1.484230542e+00 1.176939499e-01 2.204706163e-02 9.762339626e-115 1.172639307e-114
1.245210996e+00 1.444187015e-01 1.434132208e+00 1.217181911e-01 2.270051038e-02 1.328386501e-108 2.686774614e-113
1.320074714e+00 1.504665748e-01 1.387511792e+00 1.280541796e-01 2.241239525e-02 4.609209248e-100 1.272729298e-100
1.399439338e+00 1.632969847e-01 1.355627841e+00 1.400450592e-01 2.325192552e-02 4.705129515e-94 1.010705022e-95
1.483575466e+00 1.739575190e-01 1.349342623e+00 1.500579069e-01 2.389961205e-02 2.639228324e-89 2.036496509e-91
1.572769969e+00 1.868244402e-01 1.348832695e+00 1.614487437e-01 2.537569651e-02 2.862412189e-84 6.128368156e-86
1.667326963e+00 2.017590608e-01 1.323198284e+00 1.761747180e-01 2.558434279e-02 3.354319139e-79 1.600646506e-79
1.767568847e+00 2.019642373e-01 1.228230942e+00 1.774470985e-01 2.451713874e-02 6.065157407e-73 5.814429462e-74
1.873837405e+00 2.027169888e-01 1.147547195e+00 1.799668488e-01 2.275013998e-02 9.559997460e-70 2.113540913e-70
1.986494968e+00 2.027749525e-01 1.051410343e+00 1.815316970e-01 2.124325554e-02 2.077227021e-69 4.104703603e-70
2.105925651e+00 2.023331135e-01 9.794205585e-01 1.822429486e-01 2.009016486e-02 7.238215299e-61 6.671688168e-62
2.232536664e+00 1.934589879e-01 8.935225427e-01 1.755163628e-01 1.794262508e-02 3.919196589e-57 6.293780375e-58
2.366759696e+00 1.821189320e-01 7.897414239e-01 1.666187598e-01 1.550017215e-02 1.290934393e-53 1.723777178e-54
2.509052394e+00 1.714258075e-01 6.981307874e-01 1.580936953e-01 1.333211216e-02 7.557063172e-51 7.908778819e-52
2.659899915e+00 1.794815167e-01 6.712907385e-01 1.669830481e-01 1.249846864e-02 2.857160805e-48 3.681133229e-49
2.819816587e+00 1.760360906e-01 6.267506973e-01 1.648598072e-01 1.117628337e-02 6.098333448e-45 5.405304307e-46
