# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 6.424722522e-04 2.049924329e-01 4.300127858e-04 2.124594664e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.163147244e-02 1.416252276e+00 7.160149991e-03 4.471322447e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 2.875878760e-02 1.914067527e+00 1.649226240e-02 1.226652520e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 5.290293017e-02 2.349568942e+00 2.939403347e-02 2.350889670e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 5.974090058e-02 2.360203864e+00 3.295899845e-02 2.678190212e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 4.153103562e-02 1.955129119e+00 2.311122708e-02 1.841980854e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 6.386551774e-02 2.340021739e+00 3.555425680e-02 2.831126094e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 6.998376831e-02 2.340760483e+00 3.914648273e-02 3.083728558e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 7.264743364e-02 2.257174362e+00 4.044111819e-02 3.220631545e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 7.262024263e-02 2.136079978e+00 4.072170703e-02 3.189853560e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 7.350340323e-02 2.104991624e+00 4.183899006e-02 3.166441317e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 7.386795051e-02 2.067171573e+00 4.101476004e-02 3.285319047e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 7.558255447e-02 1.997220418e+00 4.004824728e-02 3.553430719e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 7.291935445e-02 1.919083552e+00 3.695680805e-02 3.596254640e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 7.319502121e-02 1.862853081e+00 3.561285737e-02 3.758216385e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 7.320210523e-02 1.846444737e+00 3.390538260e-02 3.929672262e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 7.642312436e-02 1.750691498e+00 3.364505567e-02 4.277806870e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 7.797621649e-02 1.670281397e+00 3.255684597e-02 4.541937052e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 8.091850980e-02 1.613035896e+00 3.295126808e-02 4.796724172e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 8.790498969e-02 1.594196371e+00 3.456984232e-02 5.333514737e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 9.060313519e-02 1.544785783e+00 3.599316943e-02 5.460996576e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 8.988958856e-02 1.494833973e+00 3.606253102e-02 5.382705754e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 9.186270174e-02 1.451048957e+00 3.723253033e-02 5.463017141e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 9.345431705e-02 1.406460223e+00 3.732535947e-02 5.612895758e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 9.681928470e-02 1.414280515e+00 3.914936571e-02 5.766991899e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 1.597033717e-01 1.988617844e+00 6.538441286e-02 9.431895888e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 1.927825813e-01 2.213532230e+00 7.914945918e-02 1.136331221e-01 0.000000000e+00 0.000000000e+00
4.353542335e-01 1.876194888e-01 2.106217770e+00 7.746402045e-02 1.101554683e-01 0.000000000e+00 0.000000000e+00
4.615283011e-01 1.975746750e-01 2.126950397e+00 8.100472438e-02 1.165699506e-01 0.000000000e+00 0.000000000e+00
4.892759879e-01 1.824227694e-01 1.981897475e+00 7.500276352e-02 1.074200059e-01 0.000000000e+00 0.000000000e+00
5.186919022e-01 1.923965291e-01 1.959116091e+00 7.991457602e-02 1.124819531e-01 0.000000000e+00 0.000000000e+00
5.498763397e-01 1.946121727e-01 1.912804979e+00 8.234148925e-02 1.122706835e-01 0.000000000e+00 0.000000000e+00
5.829356266e-01 1.932824990e-01 1.901577431e+00 8.201314651e-02 1.112693525e-01 0.000000000e+00 0.000000000e+00
6.179824811e-01 2.021400217e-01 1.876773221e+00 8.519991556e-02 1.169401062e-01 0.000000000e+00 0.000000000e+00
6.551363985e-01 2.047659196e-01 1.843999140e+00 8.636840510e-02 1.183975145e-01 0.000000000e+00 0.000000000e+00
6.945240582e-01 2.125632834e-01 1.857960192e+00 9.135171069e-02 1.212115728e-01 0.000000000e+00 0.000000000e+00
7.362797556e-01 2.224369624e-01 1.814402215e+00 9.601093752e-02 1.264260249e-01 0.000000000e+00 0.000000000e+00
7.805458603e-01 2.317427579e-01 1.793873236e+00 1.002309029e-01 1.315118550e-01 0.000000000e+00 0.000000000e+00
8.274733014e-01 2.296903180e-01 1.749874965e+00 1.000571505e-01 1.296331674e-01 0.000000000e+00 0.000000000e+00
8.772220817e-01 2.458602938e-01 1.758192018e+00 1.092866018e-01 1.365736921e-01 0.000000000e+00 0.000000000e+00
9.299618239e-01 2.543511224e-01 1.744051243e+00 1.135005635e-01 1.408505588e-01 0.000000000e+00 0.000000000e+00
9.858723487e-01 2.582051323e-01 1.701734246e+00 1.193332055e-01 1.388719268e-01 1.274400218e-93 1.303092527e-86
1.045144288e+00 2.587679771e-01 1.626471432e+00 1.206136301e-01 1.381543470e-01 7.321805323e-88 3.121931961e-80
1.107979733e+00 2.509982301e-01 1.550436159e+00 1.202278591e-01 1.307703710e-01 1.149198982e-82 1.496953343e-74
1.174592928e+00 2.554205893e-01 1.474877585e+00 1.242082633e-01 1.312123260e-01 4.252764906e-78 2.327781819e-72
1.245210996e+00 2.537293888e-01 1.430096454e+00 1.261935782e-01 1.275358106e-01 5.609735169e-73 1.555502269e-67
1.320074714e+00 2.554041986e-01 1.375589141e+00 1.316851842e-01 1.237190144e-01 1.053385735e-68 1.526012745e-62
1.399439338e+00 2.710871057e-01 1.357895148e+00 1.461398728e-01 1.249472329e-01 4.106511821e-64 1.151190421e-58
1.483575466e+00 2.825079674e-01 1.342052843e+00 1.553178849e-01 1.271900826e-01 2.010531063e-60 2.440675272e-56
