# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.050010091e-08 3.378702255e-02 8.959861860e-09 1.540239050e-09 0.000000000e+00 0.000000000e+00
9.541091806e-02 3.128547994e-07 1.752674062e-01 2.603526798e-07 5.250211959e-08 0.000000000e+00 0.000000000e+00
1.011471476e-01 4.119638466e-06 2.055574656e-01 3.411441408e-06 7.081970578e-07 0.000000000e+00 0.000000000e+00
1.072282468e-01 2.471139636e-05 2.203906323e-01 1.963279641e-05 5.078599949e-06 0.000000000e+00 0.000000000e+00
1.136749497e-01 4.480885367e-05 2.136474268e-01 3.508545180e-05 9.723401871e-06 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.904520512e-05 1.906474054e-01 1.483534696e-05 4.209858164e-06 0.000000000e+00 0.000000000e+00
1.277544101e-01 7.324460464e-05 1.995953637e-01 5.613423970e-05 1.711036494e-05 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.134695506e-04 1.915010223e-01 8.764244823e-05 2.582710241e-05 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.367399842e-04 1.774667478e-01 1.064169654e-04 3.032301880e-05 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.524378179e-04 1.692654093e-01 1.188538640e-04 3.358395388e-05 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.632769832e-04 1.603049271e-01 1.279131839e-04 3.536379931e-05 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.667721000e-04 1.562075437e-01 1.298021173e-04 3.696998266e-05 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.615194498e-04 1.485241997e-01 1.270911812e-04 3.442826858e-05 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.446996978e-04 1.393866545e-01 1.164016249e-04 2.829807287e-05 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.206159824e-04 1.299439636e-01 9.906170428e-05 2.155427807e-05 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.182853295e-04 1.271692618e-01 9.751199268e-05 2.077333681e-05 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.429846370e-04 1.189759802e-01 1.151140920e-04 2.787054500e-05 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.783129958e-04 1.107294697e-01 1.391503772e-04 3.916261855e-05 0.000000000e+00 0.000000000e+00
2.574202362e-01 2.229833846e-04 1.037509033e-01 1.726719932e-04 5.031139140e-05 0.000000000e+00 0.000000000e+00
2.728966785e-01 2.714282640e-04 9.717473723e-02 2.118359832e-04 5.959228078e-05 0.000000000e+00 0.000000000e+00
2.893035848e-01 3.234133089e-04 9.080438225e-02 2.544779766e-04 6.893533224e-05 0.000000000e+00 0.000000000e+00
3.066968958e-01 3.865865875e-04 8.420413444e-02 3.073043681e-04 7.928221937e-05 0.000000000e+00 0.000000000e+00
3.251359155e-01 4.478880742e-04 7.685214149e-02 3.554564494e-04 9.243162481e-05 0.000000000e+00 0.000000000e+00
3.446835132e-01 5.162883695e-04 7.049964675e-02 4.085412534e-04 1.077471160e-04 0.000000000e+00 0.000000000e+00
3.654063382e-01 6.336189395e-04 6.641534108e-02 4.996312702e-04 1.339876693e-04 0.000000000e+00 0.000000000e+00
3.873750465e-01 1.155484004e-03 7.384869086e-02 9.208369305e-04 2.346470733e-04 0.000000000e+00 0.000000000e+00
4.106645425e-01 1.585710499e-03 7.324783407e-02 1.264161453e-03 3.215490464e-04 0.000000000e+00 0.000000000e+00
4.353542335e-01 1.715534493e-03 6.706225290e-02 1.343210324e-03 3.723241685e-04 0.000000000e+00 0.000000000e+00
4.615283011e-01 2.019566827e-03 6.310225676e-02 1.551993765e-03 4.675730620e-04 0.000000000e+00 0.000000000e+00
4.892759879e-01 2.176788375e-03 5.660900044e-02 1.627508417e-03 5.492799584e-04 0.000000000e+00 0.000000000e+00
5.186919022e-01 2.499299200e-03 5.249558279e-02 1.841932014e-03 6.573671861e-04 0.000000000e+00 0.000000000e+00
5.498763397e-01 2.855664903e-03 4.897576453e-02 2.080602368e-03 7.750625352e-04 0.000000000e+00 0.000000000e+00
5.829356266e-01 3.262952673e-03 4.491642181e-02 2.369232973e-03 8.937197003e-04 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.711184177e-03 4.236747283e-02 2.679161454e-03 1.032022723e-03 0.000000000e+00 0.000000000e+00
6.551363985e-01 4.142906315e-03 3.917569682e-02 2.986431541e-03 1.156474774e-03 0.000000000e+00 0.000000000e+00
6.945240582e-01 4.716479607e-03 3.761699101e-02 3.423286644e-03 1.293192963e-03 0.000000000e+00 0.000000000e+00
7.362797556e-01 5.180807567e-03 3.470029248e-02 3.819848571e-03 1.360958996e-03 0.000000000e+00 0.000000000e+00
7.805458603e-01 5.691918447e-03 3.236999210e-02 4.267653856e-03 1.424264591e-03 0.000000000e+00 0.000000000e+00
