# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 5.601861308e-05 3.373735550e-02 1.876297338e-05 3.725563970e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 5.936282821e-04 1.754339483e-01 1.928010664e-04 4.008272157e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 2.158279056e-03 2.060210528e-01 6.957414288e-04 1.462537627e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 6.174842763e-03 2.212528272e-01 2.011668426e-03 4.163174337e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.141331258e-02 2.141528945e-01 3.843729824e-03 7.569582756e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.450346326e-02 1.894624928e-01 4.991302476e-03 9.512160783e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.998163078e-02 2.000184639e-01 7.000354843e-03 1.298127594e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 2.283231770e-02 1.914423769e-01 8.133244451e-03 1.469907325e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 2.433229661e-02 1.774507130e-01 8.963389841e-03 1.536890677e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 2.621168638e-02 1.689329959e-01 9.982663867e-03 1.622902251e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 2.513571340e-02 1.607307916e-01 1.007727920e-02 1.505843420e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 2.312386119e-02 1.554673721e-01 8.906244477e-03 1.421761671e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.840690181e-02 1.481925272e-01 6.608823420e-03 1.179807839e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.220979073e-02 1.394210193e-01 4.026484718e-03 8.183306010e-03 0.000000000e+00 0.000000000e+00
2.038076228e-01 7.055679358e-03 1.301804726e-01 2.166309525e-03 4.889369833e-03 0.000000000e+00 0.000000000e+00
2.160608044e-01 6.336800772e-03 1.269064366e-01 1.804859723e-03 4.531941050e-03 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.003704330e-02 1.188124058e-01 2.616196629e-03 7.420846668e-03 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.569690622e-02 1.102361822e-01 3.821980487e-03 1.187492573e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.993562779e-02 1.040009778e-01 4.810414584e-03 1.512521320e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 2.192364540e-02 9.695075824e-02 5.238569663e-03 1.668507574e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 2.215879586e-02 9.028662164e-02 5.494520895e-03 1.666427497e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 2.229437276e-02 8.363854332e-02 5.617174743e-03 1.667719802e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 2.153692640e-02 7.648087389e-02 5.401844301e-03 1.613508210e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 2.081646534e-02 7.107788251e-02 5.201782270e-03 1.561468307e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 2.036321426e-02 6.659637820e-02 5.185288583e-03 1.517792567e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.350656203e-02 7.406108243e-02 6.236926053e-03 1.726963598e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 2.431435961e-02 7.291105532e-02 6.627471285e-03 1.768688832e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 2.311055368e-02 6.705264691e-02 6.459717475e-03 1.665083620e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 2.200812632e-02 6.254120383e-02 6.270150706e-03 1.573797561e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 2.051438562e-02 5.655375910e-02 5.953633396e-03 1.456075223e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 1.987595288e-02 5.269120615e-02 6.012741166e-03 1.386321171e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 1.914883687e-02 4.861443755e-02 5.982884099e-03 1.316595277e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 1.844376877e-02 4.512544779e-02 5.935735199e-03 1.250803358e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 1.795201242e-02 4.294228383e-02 5.967435754e-03 1.198457667e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 1.697068343e-02 3.956049714e-02 5.849137026e-03 1.112154640e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 1.675620763e-02 3.728248395e-02 5.999725970e-03 1.075648166e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 1.633406151e-02 3.495692599e-02 6.204530104e-03 1.012953141e-02 0.000000000e+00 0.000000000e+00
