# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 6.837472143e-09 3.392950745e-02 5.807372291e-09 1.030099852e-09 0.000000000e+00 0.000000000e+00
9.541091806e-02 2.065551839e-07 1.751702149e-01 1.694308558e-07 3.712432805e-08 0.000000000e+00 0.000000000e+00
1.011471476e-01 2.727225650e-06 2.058943931e-01 2.239927603e-06 4.872980473e-07 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.611942579e-05 2.208426450e-01 1.279398007e-05 3.325445721e-06 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.912597621e-05 2.144448064e-01 2.265972999e-05 6.466246216e-06 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.217617700e-05 1.911300889e-01 9.323839902e-06 2.852337095e-06 0.000000000e+00 0.000000000e+00
1.277544101e-01 4.836630808e-05 1.992895883e-01 3.663139669e-05 1.173491139e-05 0.000000000e+00 0.000000000e+00
1.354351729e-01 7.375074155e-05 1.912060219e-01 5.623863863e-05 1.751210292e-05 0.000000000e+00 0.000000000e+00
1.435777131e-01 9.053279531e-05 1.771540169e-01 7.025371570e-05 2.027907962e-05 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.035127269e-04 1.683529613e-01 7.975054547e-05 2.376218145e-05 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.084930354e-04 1.607005022e-01 8.344802926e-05 2.504500615e-05 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.126094378e-04 1.561435029e-01 8.613875806e-05 2.647067974e-05 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.071982637e-04 1.486137936e-01 8.316829062e-05 2.402997311e-05 0.000000000e+00 0.000000000e+00
1.922493402e-01 9.536487769e-05 1.389245397e-01 7.587439463e-05 1.949048306e-05 0.000000000e+00 0.000000000e+00
2.038076228e-01 8.073348231e-05 1.305875618e-01 6.569871878e-05 1.503476353e-05 0.000000000e+00 0.000000000e+00
2.160608044e-01 7.614153115e-05 1.266386926e-01 6.218322381e-05 1.395830734e-05 0.000000000e+00 0.000000000e+00
