# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 9.129256503e-05 3.387809566e-02 3.627545267e-05 5.501711235e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 9.098493797e-04 1.751603294e-01 3.506600456e-04 5.591893341e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 3.074379259e-03 2.051494181e-01 1.157998300e-03 1.916380959e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 8.336374763e-03 2.209634684e-01 3.113373448e-03 5.223001315e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.470669968e-02 2.133258107e-01 5.604412914e-03 9.102286770e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.840418879e-02 1.906146351e-01 7.064830251e-03 1.133935854e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 2.473255733e-02 1.994250222e-01 9.617829310e-03 1.511472802e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 2.803166859e-02 1.912338257e-01 1.102565615e-02 1.700601244e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 2.983857962e-02 1.779209505e-01 1.201284940e-02 1.782573022e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 3.085697919e-02 1.686967344e-01 1.312810282e-02 1.772887638e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 3.053483790e-02 1.606725508e-01 1.320320886e-02 1.733162903e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 2.787926981e-02 1.554187486e-01 1.177322639e-02 1.610604342e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 2.261759765e-02 1.485414314e-01 8.998224138e-03 1.361937351e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.512822666e-02 1.393881561e-01 5.714688210e-03 9.413538451e-03 0.000000000e+00 0.000000000e+00
2.038076228e-01 9.137217267e-03 1.302284353e-01 3.274782719e-03 5.862434548e-03 0.000000000e+00 0.000000000e+00
2.160608044e-01 8.222478362e-03 1.275748109e-01 2.796667376e-03 5.425810987e-03 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.252271306e-02 1.193198082e-01 3.865149525e-03 8.657563532e-03 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.894386850e-02 1.116974243e-01 5.430941838e-03 1.351292666e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 2.344168114e-02 1.036483294e-01 6.538383475e-03 1.690329766e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 2.545919293e-02 9.700289508e-02 7.056489056e-03 1.840270387e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 2.606834211e-02 9.116992109e-02 7.390890115e-03 1.867745199e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 2.570245089e-02 8.353107807e-02 7.424879054e-03 1.827757184e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 2.509302666e-02 7.710300561e-02 7.195649753e-03 1.789737691e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 2.369944985e-02 7.018317610e-02 6.804814855e-03 1.689463500e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 2.315020719e-02 6.611572819e-02 6.801619048e-03 1.634858815e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.706357045e-02 7.453981515e-02 8.343300230e-03 1.872027022e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 2.789975975e-02 7.333149692e-02 8.913086530e-03 1.898667322e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 2.644563438e-02 6.708077775e-02 8.591008305e-03 1.785462608e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 2.556417698e-02 6.302942065e-02 8.425664868e-03 1.713851211e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 2.355681994e-02 5.644399130e-02 7.904094857e-03 1.565272508e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 2.269983684e-02 5.280994599e-02 7.963341699e-03 1.473649514e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 2.174533878e-02 4.863410712e-02 7.889170428e-03 1.385616836e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 2.071442888e-02 4.516453067e-02 7.797536123e-03 1.291689275e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 2.015181622e-02 4.221759955e-02 7.694398470e-03 1.245741775e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 1.932926066e-02 3.934343996e-02 7.575280037e-03 1.175398062e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 1.900419925e-02 3.751827174e-02 7.768042044e-03 1.123615721e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 1.838469746e-02 3.473698981e-02 7.875451655e-03 1.050924580e-02 0.000000000e+00 0.000000000e+00
7.805458603e-01 1.762626091e-02 3.226903226e-02 7.899605482e-03 9.726655428e-03 0.000000000e+00 0.000000000e+00
8.274733014e-01 1.688859061e-02 2.995910695e-02 7.767591495e-03 9.120999120e-03 0.000000000e+00 0.000000000e+00
8.772220817e-01 1.682536341e-02 2.896817049e-02 7.976477662e-03 8.848885746e-03 0.000000000e+00 0.000000000e+00
9.299618239e-01 1.651576334e-02 2.765254465e-02 8.221224943e-03 8.294538394e-03 0.000000000e+00 0.000000000e+00
9.858723487e-01 1.580398239e-02 2.547756640e-02 8.266618146e-03 7.537364248e-03 5.454091956e-93 5.873638271e-93
1.045144288e+00 1.488615052e-02 2.333313536e-02 8.182029524e-03 6.704120994e-03 2.188611682e-87 2.134591021e-87
1.107979733e+00 1.398613280e-02 2.136839217e-02 7.982080302e-03 6.004052495e-03 3.905494061e-82 3.468922322e-82
1.174592928e+00 1.303678633e-02 1.946562678e-02 7.698221666e-03 5.338564662e-03 4.217249960e-77 3.316635624e-77
1.245210996e+00 1.225246757e-02 1.787068221e-02 7.581083140e-03 4.671384430e-03 1.962409351e-72 1.390292185e-72
1.320074714e+00 1.163950453e-02 1.651126167e-02 7.579130088e-03 4.060374440e-03 5.164910914e-68 3.193520019e-68
1.399439338e+00 1.093849336e-02 1.511352517e-02 7.442912520e-03 3.495580838e-03 7.374876515e-64 3.840835879e-64
1.483575466e+00 1.032693738e-02 1.397446217e-02 7.321458581e-03 3.005478801e-03 6.645623531e-60 3.270544831e-60
1.572769969e+00 9.903888139e-03 1.309780908e-02 7.249392370e-03 2.654495769e-03 3.506768426e-56 1.478683435e-56
1.667326963e+00 9.370876440e-03 1.213861303e-02 7.096719461e-03 2.274156979e-03 1.054535652e-52 3.942956694e-53
1.767568847e+00 8.800068310e-03 1.120827335e-02 6.895830567e-03 1.904237743e-03 2.150005285e-49 6.702001399e-50
1.873837405e+00 8.193244650e-03 1.025378297e-02 6.623687925e-03 1.569556725e-03 2.671646762e-46 7.365121279e-47
1.986494968e+00 7.579646549e-03 9.319940334e-03 6.299123935e-03 1.280522614e-03 2.188226809e-43 5.116596343e-44
2.105925651e+00 7.059979130e-03 8.549934901e-03 5.999139955e-03 1.060839175e-03 1.256359182e-40 2.541937832e-41
2.232536664e+00 6.519724655e-03 7.785477691e-03 5.654739998e-03 8.649846568e-04 4.957187430e-38 8.603388394e-39
2.366759696e+00 5.936833488e-03 6.989085611e-03 5.245753608e-03 6.910798808e-04 1.356401110e-35 2.000169338e-36
2.509052394e+00 5.355142693e-03 6.225769329e-03 4.816881952e-03 5.382607410e-04 2.705913135e-33 3.345356920e-34
2.659899915e+00 5.040183044e-03 5.776428928e-03 4.610687765e-03 4.294952787e-04 4.111021876e-31 4.284978284e-32
2.819816587e+00 4.714547349e-03 5.340610298e-03 4.375001766e-03 3.395455830e-04 4.355247893e-29 3.814309967e-30
2.989347660e+00 4.174372464e-03 4.682729179e-03 3.916721689e-03 2.576507753e-04 3.651678112e-27 2.657339696e-28
