# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.070509962e-08 3.374190022e-02 9.081589647e-09 1.623509974e-09 0.000000000e+00 0.000000000e+00
9.541091806e-02 3.291740804e-07 1.750374420e-01 2.774839298e-07 5.169015069e-08 0.000000000e+00 0.000000000e+00
1.011471476e-01 4.296564892e-06 2.053505620e-01 3.489860890e-06 8.067040025e-07 0.000000000e+00 0.000000000e+00
1.072282468e-01 2.545718817e-05 2.210233018e-01 2.026769047e-05 5.189497700e-06 0.000000000e+00 0.000000000e+00
1.136749497e-01 4.525675393e-05 2.137920650e-01 3.537104184e-05 9.885712081e-06 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.871608300e-05 1.905994069e-01 1.442198198e-05 4.294101014e-06 0.000000000e+00 0.000000000e+00
1.277544101e-01 7.458692156e-05 1.995886243e-01 5.684439353e-05 1.774252803e-05 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.144403081e-04 1.910503215e-01 8.758838730e-05 2.685192083e-05 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.393160171e-04 1.779883062e-01 1.076974852e-04 3.161853183e-05 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.588756790e-04 1.684431966e-01 1.226761115e-04 3.619956748e-05 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.693256146e-04 1.601581486e-01 1.308133592e-04 3.851225540e-05 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.689667999e-04 1.565477828e-01 1.301124661e-04 3.885433374e-05 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.669920630e-04 1.486058900e-01 1.299627380e-04 3.702932501e-05 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.469396727e-04 1.398792457e-01 1.176553142e-04 2.928435844e-05 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.222071829e-04 1.295558613e-01 9.991426857e-05 2.229291436e-05 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.182359365e-04 1.278307879e-01 9.693101853e-05 2.130491801e-05 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.428549550e-04 1.193007290e-01 1.141339151e-04 2.872103990e-05 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.825575410e-04 1.106594487e-01 1.411960098e-04 4.136153120e-05 0.000000000e+00 0.000000000e+00
2.574202362e-01 2.352750276e-04 1.037599661e-01 1.803350278e-04 5.493999971e-05 0.000000000e+00 0.000000000e+00
2.728966785e-01 2.825564129e-04 9.678889030e-02 2.180095601e-04 6.454685286e-05 0.000000000e+00 0.000000000e+00
2.893035848e-01 3.376740191e-04 9.068313097e-02 2.643527218e-04 7.332129731e-05 0.000000000e+00 0.000000000e+00
3.066968958e-01 3.976860957e-04 8.424836995e-02 3.150498022e-04 8.263629351e-05 0.000000000e+00 0.000000000e+00
3.251359155e-01 4.490682196e-04 7.646222926e-02 3.597391455e-04 8.932907404e-05 0.000000000e+00 0.000000000e+00
3.446835132e-01 5.212141777e-04 7.074094715e-02 4.229199912e-04 9.829418648e-05 0.000000000e+00 0.000000000e+00
3.654063382e-01 6.155248916e-04 6.656786231e-02 5.067892966e-04 1.087355949e-04 0.000000000e+00 0.000000000e+00
3.873750465e-01 1.138308711e-03 7.427387380e-02 9.484017193e-04 1.899069918e-04 0.000000000e+00 0.000000000e+00
4.106645425e-01 1.487482647e-03 7.302897335e-02 1.253297509e-03 2.341851387e-04 0.000000000e+00 0.000000000e+00
4.353542335e-01 1.535689428e-03 6.699993245e-02 1.307430253e-03 2.282591751e-04 0.000000000e+00 0.000000000e+00
4.615283011e-01 1.709985573e-03 6.278123701e-02 1.470872560e-03 2.391130129e-04 0.000000000e+00 0.000000000e+00
4.892759879e-01 1.690432507e-03 5.665218795e-02 1.470003513e-03 2.204289942e-04 0.000000000e+00 0.000000000e+00
5.186919022e-01 1.815213423e-03 5.273605476e-02 1.595067266e-03 2.201461574e-04 0.000000000e+00 0.000000000e+00
5.498763397e-01 1.905038898e-03 4.876489289e-02 1.691992032e-03 2.130468656e-04 0.000000000e+00 0.000000000e+00
5.829356266e-01 2.011520334e-03 4.510091640e-02 1.806731211e-03 2.047891229e-04 0.000000000e+00 0.000000000e+00
6.179824811e-01 2.081081555e-03 4.252926951e-02 1.886633673e-03 1.944478824e-04 0.000000000e+00 0.000000000e+00
6.551363985e-01 2.126676472e-03 3.940477983e-02 1.944651991e-03 1.820244811e-04 0.000000000e+00 0.000000000e+00
6.945240582e-01 2.241233047e-03 3.735492779e-02 2.068034078e-03 1.731989687e-04 0.000000000e+00 0.000000000e+00
