# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.693602879e-02 3.385760874e-02 1.501136150e-02 1.924667290e-03 0.000000000e+00 0.000000000e+00
9.541091806e-02 9.245986402e-02 1.751246063e-01 8.163823101e-02 1.082163301e-02 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.219046261e-01 2.100561814e-01 1.077516791e-01 1.415294702e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.522393941e-01 2.378407517e-01 1.353682250e-01 1.687116906e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.633708762e-01 2.378397560e-01 1.461195238e-01 1.725135238e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.432616887e-01 1.992060539e-01 1.283712066e-01 1.489048205e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.738491743e-01 2.306852497e-01 1.568844558e-01 1.696471852e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.818846581e-01 2.328647991e-01 1.650510648e-01 1.683359326e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.819155293e-01 2.240106346e-01 1.652413416e-01 1.667418772e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.842004896e-01 2.168942236e-01 1.668875660e-01 1.731292362e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.866612463e-01 2.108718350e-01 1.682504292e-01 1.841081715e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.881123286e-01 2.065144437e-01 1.689211777e-01 1.919115087e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.878389258e-01 2.025147608e-01 1.684908490e-01 1.934807681e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.840163876e-01 1.975743526e-01 1.652616179e-01 1.875476961e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.741961172e-01 1.879710380e-01 1.566191848e-01 1.757693246e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.731300289e-01 1.867111689e-01 1.568707177e-01 1.625931126e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.684863997e-01 1.788438970e-01 1.541665226e-01 1.431987711e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.628465767e-01 1.701794861e-01 1.503764815e-01 1.247009522e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.611312735e-01 1.668630191e-01 1.500205302e-01 1.111074330e-02 0.000000000e+00 0.000000000e+00
