# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.558757252e-02 3.374924527e-02 2.388100931e-02 1.706563213e-03 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.355432592e-01 1.750266697e-01 1.267364165e-01 8.806842727e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.686200723e-01 2.092801884e-01 1.577877556e-01 1.083231666e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.982061920e-01 2.367595087e-01 1.860832051e-01 1.212298688e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.045895816e-01 2.378682172e-01 1.923797805e-01 1.220980115e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.743777780e-01 1.999457092e-01 1.641532392e-01 1.022453877e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 2.051741914e-01 2.312522813e-01 1.935473171e-01 1.162687422e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 2.099687682e-01 2.335604756e-01 1.982692846e-01 1.169948362e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 2.037028415e-01 2.239131390e-01 1.925982615e-01 1.110457999e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.998321024e-01 2.168199254e-01 1.890803283e-01 1.075177413e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.963536305e-01 2.107632885e-01 1.857196859e-01 1.063394463e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.946915566e-01 2.074074215e-01 1.837312782e-01 1.096027842e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.912812126e-01 2.028888368e-01 1.799913226e-01 1.128989000e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.856244713e-01 1.960862470e-01 1.735594082e-01 1.206506319e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.783260767e-01 1.880917570e-01 1.654603677e-01 1.286570902e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.784967080e-01 1.874697403e-01 1.646773104e-01 1.381939768e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.707592414e-01 1.777670863e-01 1.571486078e-01 1.361063369e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.647563766e-01 1.704070521e-01 1.513282688e-01 1.342810778e-02 0.000000000e+00 0.000000000e+00
