# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.285971655e-02 3.383010941e-02 1.089384894e-02 1.965867614e-03 0.000000000e+00 0.000000000e+00
9.541091806e-02 7.330489429e-02 1.754717284e-01 6.189475651e-02 1.141013778e-02 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.036102494e-01 2.089699578e-01 8.773150718e-02 1.587874220e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.395706105e-01 2.381569417e-01 1.192029080e-01 2.036770255e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.560191951e-01 2.373875045e-01 1.350507638e-01 2.096843136e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.392019408e-01 1.990554816e-01 1.212965674e-01 1.790537348e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.705590815e-01 2.292391847e-01 1.508332147e-01 1.972586679e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.809120028e-01 2.337060421e-01 1.621087338e-01 1.880326898e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.785471068e-01 2.242111555e-01 1.621214180e-01 1.642568887e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.771560815e-01 2.169866957e-01 1.618634012e-01 1.529268024e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.737372671e-01 2.100955670e-01 1.591931688e-01 1.454409826e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.708399824e-01 2.073490745e-01 1.563893410e-01 1.445064142e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.633572674e-01 2.029734811e-01 1.492700687e-01 1.408719864e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.502408073e-01 1.969030733e-01 1.370904261e-01 1.315038125e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.345571576e-01 1.893456875e-01 1.224512322e-01 1.210592539e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.299912221e-01 1.864576409e-01 1.181094080e-01 1.188181416e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.339307361e-01 1.791793443e-01 1.215984758e-01 1.233226032e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.368119279e-01 1.692250557e-01 1.248151782e-01 1.199674970e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.420134374e-01 1.673535393e-01 1.306574665e-01 1.135597088e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.451579680e-01 1.666995530e-01 1.348467196e-01 1.031124835e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.486262719e-01 1.678577248e-01 1.394190411e-01 9.207230746e-03 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.520322185e-01 1.694422666e-01 1.437345055e-01 8.297713042e-03 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.525116298e-01 1.679779962e-01 1.449893221e-01 7.522307738e-03 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.555904652e-01 1.698480238e-01 1.486614240e-01 6.929041252e-03 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.651464960e-01 1.790433480e-01 1.585823687e-01 6.564127281e-03 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.549545723e-01 2.741909455e-01 2.461857821e-01 8.768790183e-03 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.067446534e-01 3.276538351e-01 2.972535638e-01 9.491089629e-03 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.008855497e-01 3.195600773e-01 2.924544400e-01 8.431109654e-03 0.000000000e+00 0.000000000e+00
4.615283011e-01 3.160144003e-01 3.337150667e-01 3.080706790e-01 7.943721364e-03 0.000000000e+00 0.000000000e+00
