# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.382379745e-02 3.385823691e-02 1.114824745e-02 2.675550006e-03 0.000000000e+00 0.000000000e+00
9.541091806e-02 7.900148434e-02 1.754469130e-01 6.376890123e-02 1.523258311e-02 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.118205987e-01 2.089534681e-01 9.097326305e-02 2.084733564e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.494365075e-01 2.372787536e-01 1.237542315e-01 2.568227597e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.655571899e-01 2.384305856e-01 1.392788860e-01 2.627830389e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.422798131e-01 1.988158386e-01 1.190563961e-01 2.322341706e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.739600037e-01 2.297520136e-01 1.485157756e-01 2.544422815e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.826155444e-01 2.341599270e-01 1.579405851e-01 2.467495931e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.795559459e-01 2.248381179e-01 1.563465354e-01 2.320941051e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.755395823e-01 2.166582873e-01 1.541992333e-01 2.134034904e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.716597225e-01 2.107079234e-01 1.518770865e-01 1.978263596e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.685282547e-01 2.070085968e-01 1.480727999e-01 2.045545478e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.632216112e-01 2.031494224e-01 1.422094904e-01 2.101212072e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.535889807e-01 1.971490883e-01 1.324142152e-01 2.117476551e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.415367362e-01 1.892741139e-01 1.209024426e-01 2.063429368e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.399452047e-01 1.875820320e-01 1.184189752e-01 2.152622952e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.405402432e-01 1.773451572e-01 1.178578648e-01 2.268237839e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.427842833e-01 1.701713171e-01 1.192431173e-01 2.354116597e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.454439908e-01 1.675185088e-01 1.222574269e-01 2.318656384e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.473002077e-01 1.661262181e-01 1.244062829e-01 2.289392480e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.508406531e-01 1.679226598e-01 1.288773876e-01 2.196326551e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.533251030e-01 1.687235268e-01 1.324599800e-01 2.086512296e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.540522436e-01 1.682954894e-01 1.342161310e-01 1.983611264e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.562646439e-01 1.696166210e-01 1.370795199e-01 1.918512392e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.656211618e-01 1.785343623e-01 1.466579403e-01 1.896322154e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.557342120e-01 2.727693527e-01 2.305501985e-01 2.518401351e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.101544968e-01 3.286402525e-01 2.823704175e-01 2.778407927e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.021841194e-01 3.194795520e-01 2.763057979e-01 2.587832149e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 3.173731543e-01 3.343337662e-01 2.909633009e-01 2.640985348e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 3.027009926e-01 3.180738769e-01 2.782300462e-01 2.447094638e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 3.068537019e-01 3.215430479e-01 2.834677051e-01 2.338599681e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 3.098284202e-01 3.236475055e-01 2.871729014e-01 2.265551881e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 3.130818145e-01 3.264248348e-01 2.913064206e-01 2.177539396e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.171301861e-01 3.299897371e-01 2.958844777e-01 2.124570836e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 3.134143265e-01 3.253605099e-01 2.930610181e-01 2.035330839e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 3.182839290e-01 3.299240615e-01 2.988348666e-01 1.944906238e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 3.189304215e-01 3.298093390e-01 3.006357825e-01 1.829463893e-02 0.000000000e+00 0.000000000e+00
7.805458603e-01 3.193405471e-01 3.294844386e-01 3.019740539e-01 1.736649318e-02 0.000000000e+00 0.000000000e+00
8.274733014e-01 3.157880292e-01 3.250972331e-01 2.992753968e-01 1.651263243e-02 0.000000000e+00 0.000000000e+00
8.772220817e-01 3.181055401e-01 3.272120067e-01 3.024553717e-01 1.565016836e-02 0.000000000e+00 0.000000000e+00
9.299618239e-01 3.183668866e-01 3.269886353e-01 3.038009065e-01 1.456598005e-02 0.000000000e+00 0.000000000e+00
9.858723487e-01 3.134222601e-01 3.212136305e-01 3.001287611e-01 1.329349902e-02 1.672836244e-56 2.374587344e-57
1.045144288e+00 3.010111595e-01 3.080729294e-01 2.892756306e-01 1.173552891e-02 4.572374512e-53 6.339976551e-54
1.107979733e+00 2.860906989e-01 2.925321947e-01 2.757564866e-01 1.033421229e-02 8.459509313e-50 1.132743032e-50
1.174592928e+00 2.778068319e-01 2.837871424e-01 2.684570397e-01 9.349792229e-03 9.890819132e-47 1.182047484e-47
1.245210996e+00 2.672887383e-01 2.726602640e-01 2.590971497e-01 8.191588557e-03 8.027900984e-44 8.332722488e-45
1.320074714e+00 2.652583630e-01 2.702111856e-01 2.579799007e-01 7.278462324e-03 4.497342003e-41 4.303985845e-42
