# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.916432707e-04 3.350015819e-04 1.760907940e-04 1.555247667e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.044763963e-03 1.753857798e-03 9.571941596e-04 8.756980342e-05 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.352201846e-03 2.100502250e-03 1.236816655e-03 1.153851914e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.651469753e-03 2.371849384e-03 1.511454801e-03 1.400149524e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.757369849e-03 2.378093041e-03 1.615142683e-03 1.422271660e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.540356537e-03 1.999955570e-03 1.421255249e-03 1.191012880e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.834973926e-03 2.304743259e-03 1.699973487e-03 1.350004389e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.908768391e-03 2.337724984e-03 1.777452290e-03 1.313161010e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.877321598e-03 2.245650453e-03 1.755040800e-03 1.222807986e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.869441279e-03 2.180765065e-03 1.750003404e-03 1.194378747e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.839968289e-03 2.104357247e-03 1.720510885e-03 1.194574049e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.824841040e-03 2.069638306e-03 1.702409546e-03 1.224314943e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.792673139e-03 2.042730571e-03 1.671181130e-03 1.214920084e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.687730129e-03 1.965183759e-03 1.571831190e-03 1.158989395e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.565069628e-03 1.882374928e-03 1.456519749e-03 1.085498790e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.541848080e-03 1.868815530e-03 1.436804820e-03 1.050432596e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.517461065e-03 1.776184171e-03 1.417239826e-03 1.002212386e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.514463377e-03 1.702259594e-03 1.419739841e-03 9.472353585e-05 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.517131272e-03 1.666495162e-03 1.430646510e-03 8.648476246e-05 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.536057113e-03 1.664072183e-03 1.457531636e-03 7.852547732e-05 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.562950959e-03 1.679182579e-03 1.492151974e-03 7.079898575e-05 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.586632467e-03 1.691869355e-03 1.522414005e-03 6.421846130e-05 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.593207996e-03 1.689371018e-03 1.534943063e-03 5.826493311e-05 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.607013328e-03 1.696609230e-03 1.553452826e-03 5.356050269e-05 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.701838737e-03 1.788867032e-03 1.650722716e-03 5.111602024e-05 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.609138972e-03 2.732555973e-03 2.538297679e-03 7.084129302e-05 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.169016047e-03 3.306417849e-03 3.091639839e-03 7.737620799e-05 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.068788698e-03 3.190888367e-03 3.001488766e-03 6.729993201e-05 0.000000000e+00 0.000000000e+00
