# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.229069577e-04 3.387620673e-04 1.036857270e-04 1.922123067e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 6.975752907e-04 1.756928308e-03 5.868671517e-04 1.107081390e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 9.784324416e-04 2.093896425e-03 8.267347744e-04 1.516976672e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.305699428e-03 2.370937067e-03 1.117410510e-03 1.882889185e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.469717782e-03 2.382917353e-03 1.274039946e-03 1.956778354e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.307011052e-03 1.995625888e-03 1.138404037e-03 1.686070153e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.618312989e-03 2.301532290e-03 1.429597743e-03 1.887152456e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.723758244e-03 2.337593731e-03 1.540095404e-03 1.836628400e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.728251381e-03 2.249541712e-03 1.557136459e-03 1.711149217e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.737913718e-03 2.173071950e-03 1.570905611e-03 1.670081077e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.727478115e-03 2.097913596e-03 1.562680409e-03 1.647977052e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.730353397e-03 2.073084202e-03 1.560562096e-03 1.697913005e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.685410435e-03 2.027936232e-03 1.518804022e-03 1.666064131e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.581650444e-03 1.960768245e-03 1.424576947e-03 1.570734965e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.450946247e-03 1.884729846e-03 1.306105103e-03 1.448411436e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.422298984e-03 1.866889818e-03 1.283599224e-03 1.386997597e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.427754767e-03 1.777641206e-03 1.293851152e-03 1.339036144e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.452248543e-03 1.706266786e-03 1.325740974e-03 1.265075688e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.473708222e-03 1.670804995e-03 1.358016751e-03 1.156914715e-04 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.492842861e-03 1.659516428e-03 1.389770931e-03 1.030719293e-04 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.528650140e-03 1.677003567e-03 1.437092573e-03 9.155756696e-05 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.550454224e-03 1.683191248e-03 1.469422543e-03 8.103168150e-05 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.562592093e-03 1.681528538e-03 1.490009063e-03 7.258302963e-05 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.587628132e-03 1.697105178e-03 1.521910447e-03 6.571768502e-05 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.688396019e-03 1.792541448e-03 1.626588152e-03 6.180786735e-05 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.600702150e-03 2.742551555e-03 2.519008725e-03 8.169342425e-05 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.128318242e-03 3.282446324e-03 3.041651538e-03 8.666670438e-05 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.064534044e-03 3.201865038e-03 2.989006570e-03 7.552747389e-05 0.000000000e+00 0.000000000e+00
4.615283011e-01 3.212878793e-03 3.342192653e-03 3.141213238e-03 7.166555545e-05 0.000000000e+00 0.000000000e+00
4.892759879e-01 3.057361322e-03 3.169977517e-03 2.996503293e-03 6.085802817e-05 0.000000000e+00 0.000000000e+00
5.186919022e-01 3.117123764e-03 3.221103601e-03 3.062008473e-03 5.511529161e-05 0.000000000e+00 0.000000000e+00
5.498763397e-01 3.133506852e-03 3.228639564e-03 3.084925050e-03 4.858180228e-05 0.000000000e+00 0.000000000e+00
5.829356266e-01 3.181131958e-03 3.269325683e-03 3.137371721e-03 4.376023691e-05 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.195589419e-03 3.276112258e-03 3.156915828e-03 3.867359051e-05 0.000000000e+00 0.000000000e+00
6.551363985e-01 3.177955788e-03 3.251562568e-03 3.143907489e-03 3.404829899e-05 0.000000000e+00 0.000000000e+00
6.945240582e-01 3.229786431e-03 3.298716739e-03 3.199366988e-03 3.041944283e-05 0.000000000e+00 0.000000000e+00
7.362797556e-01 3.236660306e-03 3.299546147e-03 3.210104458e-03 2.655584772e-05 0.000000000e+00 0.000000000e+00
7.805458603e-01 3.235643830e-03 3.293070894e-03 3.212506997e-03 2.313683302e-05 0.000000000e+00 0.000000000e+00
8.274733014e-01 3.184292214e-03 3.235958807e-03 3.164117156e-03 2.017505832e-05 0.000000000e+00 0.000000000e+00
8.772220817e-01 3.232979551e-03 3.280521864e-03 3.215006135e-03 1.797341569e-05 0.000000000e+00 0.000000000e+00
9.299618239e-01 3.215795425e-03 3.259190742e-03 3.200090466e-03 1.570495874e-05 0.000000000e+00 0.000000000e+00
9.858723487e-01 3.163229394e-03 3.201921944e-03 3.149972029e-03 1.325736423e-05 1.671199143e-150 9.274976756e-153
1.045144288e+00 3.070170118e-03 3.104707693e-03 3.059117707e-03 1.105241134e-05 1.009348222e-141 5.130715862e-144
1.107979733e+00 2.905326703e-03 2.934808681e-03 2.896069253e-03 9.257449485e-06 1.585607854e-133 6.833878404e-136
1.174592928e+00 2.794572336e-03 2.820527060e-03 2.786719191e-03 7.853145078e-06 9.088352896e-126 3.532032936e-128
1.245210996e+00 2.693593155e-03 2.716359369e-03 2.687027917e-03 6.565237837e-06 1.882865182e-118 6.956308085e-121
1.320074714e+00 2.656021586e-03 2.676634803e-03 2.650466456e-03 5.555129958e-06 1.414907822e-111 4.170004671e-114
1.399439338e+00 2.628448951e-03 2.647113492e-03 2.623749678e-03 4.699273265e-06 4.742677276e-105 1.030672770e-107
1.483575466e+00 2.595837554e-03 2.612682738e-03 2.591855217e-03 3.982337244e-06 6.978613235e-99 1.366467827e-101
1.572769969e+00 2.622381822e-03 2.637927792e-03 2.618890070e-03 3.491751934e-06 3.410332913e-93 6.232425179e-96
1.667326963e+00 2.614084618e-03 2.628346508e-03 2.611105639e-03 2.978978626e-06 1.041589012e-87 1.709331526e-90
1.767568847e+00 2.487131577e-03 2.499497974e-03 2.484729595e-03 2.401982129e-06 1.137622102e-82 1.587255125e-85
1.873837405e+00 2.292584148e-03 2.303142388e-03 2.290707544e-03 1.876603373e-06 9.317411745e-78 1.044356789e-80
1.986494968e+00 2.157076651e-03 2.166102141e-03 2.155566353e-03 1.510297937e-06 3.259425984e-73 3.222781053e-76
2.105925651e+00 1.984143019e-03 1.991814730e-03 1.982974783e-03 1.168235635e-06 6.210194422e-69 5.333891934e-72
2.232536664e+00 1.805715091e-03 1.812141797e-03 1.804815657e-03 8.994336810e-07 7.456339652e-65 5.181928945e-68
2.366759696e+00 1.648710411e-03 1.654110441e-03 1.648013936e-03 6.964752046e-07 4.638062455e-61 2.751620017e-64
2.509052394e+00 1.398850379e-03 1.403079052e-03 1.398363103e-03 4.872755673e-07 1.858965597e-57 9.172017988e-61
2.659899915e+00 1.358529091e-03 1.362327763e-03 1.358138190e-03 3.909006776e-07 4.027290722e-54 1.649575527e-57
2.819816587e+00 1.355731502e-03 1.359231947e-03 1.355407402e-03 3.241006820e-07 6.686923220e-51 2.311277434e-54
2.989347660e+00 1.118750410e-03 1.121407301e-03 1.118534575e-03 2.158344179e-07 6.526050706e-48 1.915414790e-51
3.169071162e+00 1.018656737e-03 1.020904724e-03 1.018500124e-03 1.566123328e-07 4.270666747e-45 1.026014187e-48
3.359599877e+00 9.873978657e-04 9.894105290e-04 9.872793853e-04 1.184803959e-07 1.936869617e-42 3.834682999e-46
3.561583429e+00 9.380586879e-04 9.398412943e-04 9.379708063e-04 8.788157831e-08 6.357874908e-40 1.027528542e-43
3.775710497e+00 8.034928393e-04 8.049050406e-04 8.034396295e-04 5.320976733e-08 1.532410703e-37 1.975797576e-41
4.002711165e+00 7.322411213e-04 7.334475667e-04 7.322077632e-04 3.335813243e-08 2.370661572e-35 1.879813571e-39
4.243359411e+00 6.895076859e-04 6.905722903e-04 6.894885607e-04 1.912517121e-08 3.070257020e-33 4.948232635e-38
4.498475745e+00 5.852789309e-04 5.861151135e-04 5.852708954e-04 8.035463379e-09 3.017936986e-31 4.839787321e-38
4.768930007e+00 5.181242272e-04 5.188148778e-04 5.181220074e-04 2.219813791e-09 2.255014752e-29 1.713482769e-69
5.055644335e+00 4.605176867e-04 4.610929291e-04 4.605175467e-04 1.399285028e-10 1.305769853e-27 1.003325240e-84
5.359596304e+00 4.328520941e-04 4.333538405e-04 4.328520941e-04 0.000000000e+00 5.767510918e-26 0.000000000e+00
5.681822265e+00 4.017017029e-04 4.021438169e-04 4.017017029e-04 0.000000000e+00 2.076541625e-24 0.000000000e+00
6.023420872e+00 3.688389865e-04 3.692230263e-04 3.688389865e-04 0.000000000e+00 5.682506789e-23 0.000000000e+00
6.385556837e+00 3.227185935e-04 3.230423258e-04 3.227185935e-04 0.000000000e+00 1.324395454e-21 0.000000000e+00
6.769464890e+00 2.924502954e-04 2.927316415e-04 2.924502954e-04 0.000000000e+00 2.480512315e-20 0.000000000e+00
7.176453999e+00 2.618153502e-04 2.620645313e-04 2.618153502e-04 0.000000000e+00 4.636775721e-19 0.000000000e+00
7.607911827e+00 2.365825503e-04 2.368642962e-04 2.365825503e-04 0.000000000e+00 8.010957910e-18 0.000000000e+00
8.065309466e+00 2.163169884e-04 2.167867345e-04 2.163169884e-04 0.000000000e+00 1.416421230e-16 0.000000000e+00
8.550206451e+00 1.932126967e-04 1.939520007e-04 1.932126967e-04 0.000000000e+00 2.225759062e-15 0.000000000e+00
9.064256079e+00 1.783098294e-04 1.793118472e-04 1.783098294e-04 0.000000000e+00 3.236946452e-14 0.000000000e+00
9.609211044e+00 1.634936465e-04 1.645631062e-04 1.634936461e-04 0.000000000e+00 3.125872233e-13 0.000000000e+00
1.018692942e+01 1.474280850e-04 1.482810491e-04 1.474280828e-04 0.000000000e+00 2.194918058e-12 0.000000000e+00
1.079938098e+01 1.277149861e-04 1.283030043e-04 1.277149746e-04 0.000000000e+00 1.152978458e-11 0.000000000e+00
1.144865393e+01 1.099406541e-04 1.103355724e-04 1.099405985e-04 0.000000000e+00 5.557197726e-11 0.000000000e+00
1.213696202e+01 9.620018981e-05 9.646749349e-05 9.619995383e-05 0.000000000e+00 2.359806920e-10 0.000000000e+00
1.286665210e+01 8.425007512e-05 8.442780293e-05 8.424915225e-05 0.000000000e+00 9.228667073e-10 0.000000000e+00
1.364021210e+01 7.338660484e-05 7.350803628e-05 7.338307554e-05 0.000000000e+00 3.529299898e-09 0.000000000e+00
1.446027954e+01 6.329128133e-05 6.337864086e-05 6.327754073e-05 0.000000000e+00 1.374059986e-08 0.000000000e+00
1.532965052e+01 5.463728202e-05 5.467891365e-05 5.458161681e-05 0.000000000e+00 5.566520967e-08 0.000000000e+00
1.625128922e+01 4.837319539e-05 4.825602659e-05 4.815571697e-05 0.000000000e+00 2.174784224e-07 0.000000000e+00
1.722833804e+01 4.232287418e-05 4.165460622e-05 4.155742836e-05 0.000000000e+00 7.654458269e-07 0.000000000e+00
1.826412832e+01 3.876714124e-05 3.667177124e-05 3.658135558e-05 0.000000000e+00 2.185785657e-06 0.000000000e+00
1.936219168e+01 3.735175667e-05 3.141966100e-05 3.134706968e-05 0.000000000e+00 6.004686983e-06 0.000000000e+00
2.052627204e+01 4.111637641e-05 2.775068000e-05 2.769220052e-05 0.000000000e+00 1.342417589e-05 0.000000000e+00
2.176033844e+01 5.496745049e-05 2.485673790e-05 2.481015474e-05 0.000000000e+00 3.015729574e-05 0.000000000e+00
2.306859853e+01 8.934326735e-05 2.223264909e-05 2.219542072e-05 0.000000000e+00 6.714784663e-05 0.000000000e+00
2.445551294e+01 1.432577364e-04 1.979898693e-05 1.976883419e-05 0.000000000e+00 1.234889023e-04 0.000000000e+00
