# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.714576328e-04 3.392644634e-04 2.587880845e-04 1.266954833e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.433351008e-03 1.753123219e-03 1.364200374e-03 6.915063364e-05 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.776884746e-03 2.098089649e-03 1.692432758e-03 8.445198893e-05 0.000000000e+00 0.000000000e+00
1.072282468e-01 2.075135737e-03 2.374563340e-03 1.979107282e-03 9.602845572e-05 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.124819666e-03 2.380256108e-03 2.030666563e-03 9.415310272e-05 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.800196536e-03 1.989886302e-03 1.722310578e-03 7.788595842e-05 0.000000000e+00 0.000000000e+00
1.277544101e-01 2.108761057e-03 2.307126660e-03 2.018950130e-03 8.981092697e-05 0.000000000e+00 0.000000000e+00
1.354351729e-01 2.147017207e-03 2.332224149e-03 2.056726366e-03 9.029084146e-05 0.000000000e+00 0.000000000e+00
1.435777131e-01 2.066990100e-03 2.230830422e-03 1.982003185e-03 8.498691506e-05 0.000000000e+00 0.000000000e+00
1.522097936e-01 2.023790945e-03 2.169585623e-03 1.943075678e-03 8.071526736e-05 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.962219271e-03 2.091670585e-03 1.882752569e-03 7.946670253e-05 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.942743899e-03 2.072179909e-03 1.863383430e-03 7.936046853e-05 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.899422515e-03 2.028805847e-03 1.814827336e-03 8.459517875e-05 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.827907771e-03 1.963810645e-03 1.737406852e-03 9.050091863e-05 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.725793848e-03 1.872283680e-03 1.632084946e-03 9.370890167e-05 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.725958782e-03 1.872106645e-03 1.625554286e-03 1.004044956e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.672262533e-03 1.786698446e-03 1.569155060e-03 1.031074721e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.614736251e-03 1.702054218e-03 1.513076568e-03 1.016596828e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.600112180e-03 1.673513430e-03 1.497864128e-03 1.022480527e-04 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.592620789e-03 1.659359441e-03 1.491143180e-03 1.014776091e-04 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.612222690e-03 1.676429572e-03 1.511426989e-03 1.007957009e-04 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.630202310e-03 1.690539524e-03 1.529101137e-03 1.011011737e-04 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.621438226e-03 1.679465462e-03 1.520407416e-03 1.010308102e-04 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.654198482e-03 1.710704079e-03 1.550167783e-03 1.040306982e-04 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.737374563e-03 1.794345512e-03 1.628882659e-03 1.084919045e-04 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.651817102e-03 2.735624482e-03 2.488063248e-03 1.637538545e-04 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.184912780e-03 3.282144392e-03 2.992715201e-03 1.921975790e-04 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.110165713e-03 3.202636531e-03 2.927257621e-03 1.829080922e-04 0.000000000e+00 0.000000000e+00
4.615283011e-01 3.247286405e-03 3.340114111e-03 3.055313250e-03 1.919731553e-04 0.000000000e+00 0.000000000e+00
4.892759879e-01 3.091277916e-03 3.177639395e-03 2.913029569e-03 1.782483475e-04 0.000000000e+00 0.000000000e+00
5.186919022e-01 3.136503443e-03 3.222721226e-03 2.964084742e-03 1.724187010e-04 0.000000000e+00 0.000000000e+00
5.498763397e-01 3.140334902e-03 3.223226277e-03 2.974531557e-03 1.658033454e-04 0.000000000e+00 0.000000000e+00
5.829356266e-01 3.192483918e-03 3.271164014e-03 3.027403104e-03 1.650808137e-04 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.199969338e-03 3.276155181e-03 3.039994358e-03 1.599749798e-04 0.000000000e+00 0.000000000e+00
6.551363985e-01 3.179358309e-03 3.252172098e-03 3.025178591e-03 1.541797184e-04 0.000000000e+00 0.000000000e+00
6.945240582e-01 3.230411808e-03 3.298871308e-03 3.080489305e-03 1.499225033e-04 0.000000000e+00 0.000000000e+00
7.362797556e-01 3.244114861e-03 3.310698255e-03 3.104312806e-03 1.398020547e-04 0.000000000e+00 0.000000000e+00
7.805458603e-01 3.228814834e-03 3.292550587e-03 3.098673135e-03 1.301416995e-04 0.000000000e+00 0.000000000e+00
8.274733014e-01 3.184867542e-03 3.243274509e-03 3.061004916e-03 1.238626260e-04 0.000000000e+00 0.000000000e+00
8.772220817e-01 3.212886987e-03 3.270079597e-03 3.095409296e-03 1.174776910e-04 0.000000000e+00 0.000000000e+00
9.299618239e-01 3.232754863e-03 3.287106053e-03 3.122696438e-03 1.100584256e-04 0.000000000e+00 0.000000000e+00
9.858723487e-01 3.166598173e-03 3.216616414e-03 3.068714609e-03 9.788356354e-05 0.000000000e+00 0.000000000e+00
1.045144288e+00 3.045777184e-03 3.091111996e-03 2.959765446e-03 8.601173797e-05 0.000000000e+00 0.000000000e+00
1.107979733e+00 2.889209465e-03 2.930321504e-03 2.813876082e-03 7.533338357e-05 0.000000000e+00 0.000000000e+00
1.174592928e+00 2.806187728e-03 2.843785275e-03 2.737967898e-03 6.821982995e-05 0.000000000e+00 0.000000000e+00
1.245210996e+00 2.698517197e-03 2.733012112e-03 2.639671851e-03 5.884534536e-05 0.000000000e+00 0.000000000e+00
