# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.410197898e-04 3.347433269e-04 2.230833183e-04 1.793647149e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.302597230e-03 1.752295000e-03 1.205931355e-03 9.666587511e-05 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.639643843e-03 2.090755363e-03 1.522728761e-03 1.169150819e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.964355699e-03 2.378550658e-03 1.830427681e-03 1.339280184e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 2.031069222e-03 2.378949023e-03 1.900290572e-03 1.307786494e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.732578569e-03 1.998713632e-03 1.623917930e-03 1.086606392e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 2.032162972e-03 2.300947457e-03 1.909504879e-03 1.226580927e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 2.093371357e-03 2.342298967e-03 1.971523115e-03 1.218482423e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 2.020979540e-03 2.234470766e-03 1.903963151e-03 1.170163889e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.979691399e-03 2.169232260e-03 1.869893954e-03 1.097974450e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.924677900e-03 2.099748544e-03 1.822748770e-03 1.019291300e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.900839939e-03 2.068362715e-03 1.794917766e-03 1.059221738e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.856753082e-03 2.024798240e-03 1.746285038e-03 1.104680434e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.788268519e-03 1.961970136e-03 1.668935197e-03 1.193333223e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.698096819e-03 1.885713111e-03 1.574481895e-03 1.236149237e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.685613721e-03 1.871155537e-03 1.554547250e-03 1.310664709e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.634157152e-03 1.778705088e-03 1.502540920e-03 1.316162323e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.598214122e-03 1.708401902e-03 1.466772382e-03 1.314417394e-04 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.584366043e-03 1.676196248e-03 1.455064633e-03 1.293014097e-04 0.000000000e+00 0.000000000e+00
