# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.916572605e-04 3.369306631e-04 1.760574967e-04 1.559976384e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.034233659e-03 1.747485137e-03 9.474912650e-04 8.674239400e-05 0.000000000e+00 0.000000000e+00
1.011471476e-01 1.344943900e-03 2.099670988e-03 1.230403348e-03 1.145405518e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.648831685e-03 2.377180943e-03 1.509463448e-03 1.393682368e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.751402441e-03 2.377337222e-03 1.608761760e-03 1.426406804e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.534378405e-03 1.999605357e-03 1.416714421e-03 1.176639847e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.826036701e-03 2.300108905e-03 1.691615709e-03 1.344209917e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.897353397e-03 2.329139888e-03 1.765815934e-03 1.315374631e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.872998691e-03 2.244710418e-03 1.750700294e-03 1.222983974e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.858548768e-03 2.170430978e-03 1.739154204e-03 1.193945642e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.835608591e-03 2.103878735e-03 1.716424393e-03 1.191841972e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.828972366e-03 2.077162760e-03 1.706353101e-03 1.226192656e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.777399062e-03 2.026309300e-03 1.656258520e-03 1.211405418e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.683460648e-03 1.962743719e-03 1.568075419e-03 1.153852285e-04 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.566503455e-03 1.887144908e-03 1.457044511e-03 1.094589442e-04 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.536993291e-03 1.865948413e-03 1.432092528e-03 1.049007621e-04 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.527061258e-03 1.790511232e-03 1.426509437e-03 1.005518213e-04 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.510754692e-03 1.701469603e-03 1.416450536e-03 9.430415632e-05 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.519385779e-03 1.670244880e-03 1.432132063e-03 8.725371504e-05 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.532376192e-03 1.661793260e-03 1.453650946e-03 7.872524656e-05 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.563023545e-03 1.680021203e-03 1.491824583e-03 7.119896191e-05 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.585288371e-03 1.692100931e-03 1.521395850e-03 6.389252134e-05 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.584859136e-03 1.682032326e-03 1.527201085e-03 5.765805075e-05 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.611673291e-03 1.701688495e-03 1.557811364e-03 5.386192689e-05 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.704851754e-03 1.792652403e-03 1.653289602e-03 5.156215137e-05 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.622446565e-03 2.747939574e-03 2.551432181e-03 7.101438429e-05 0.000000000e+00 0.000000000e+00
4.106645425e-01 3.146194176e-03 3.284755017e-03 3.069597225e-03 7.659695116e-05 0.000000000e+00 0.000000000e+00
4.353542335e-01 3.071088853e-03 3.194038054e-03 3.003464765e-03 6.762408820e-05 0.000000000e+00 0.000000000e+00
4.615283011e-01 3.208635790e-03 3.325705426e-03 3.144648214e-03 6.398757628e-05 0.000000000e+00 0.000000000e+00
4.892759879e-01 3.056705094e-03 3.158829836e-03 3.001847343e-03 5.485775038e-05 0.000000000e+00 0.000000000e+00
5.186919022e-01 3.115677550e-03 3.210380285e-03 3.065602557e-03 5.007499262e-05 0.000000000e+00 0.000000000e+00
5.498763397e-01 3.149471169e-03 3.238104238e-03 3.104986182e-03 4.448498650e-05 0.000000000e+00 0.000000000e+00
5.829356266e-01 3.179560982e-03 3.261642996e-03 3.139649856e-03 3.991112649e-05 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.194958213e-03 3.270355986e-03 3.159110187e-03 3.584802576e-05 0.000000000e+00 0.000000000e+00
6.551363985e-01 3.177424972e-03 3.246396013e-03 3.145933172e-03 3.149180053e-05 0.000000000e+00 0.000000000e+00
6.945240582e-01 3.253622859e-03 3.318759058e-03 3.224984736e-03 2.863812303e-05 0.000000000e+00 0.000000000e+00
7.362797556e-01 3.244510777e-03 3.303876603e-03 3.219572022e-03 2.493875464e-05 0.000000000e+00 0.000000000e+00
7.805458603e-01 3.220959295e-03 3.274947333e-03 3.199254160e-03 2.170513440e-05 0.000000000e+00 0.000000000e+00
8.274733014e-01 3.191801832e-03 3.240807940e-03 3.172722718e-03 1.907911405e-05 0.000000000e+00 0.000000000e+00
8.772220817e-01 3.234319158e-03 3.279762111e-03 3.217391014e-03 1.692814406e-05 0.000000000e+00 0.000000000e+00
9.299618239e-01 3.223252791e-03 3.264654813e-03 3.208403277e-03 1.484951460e-05 0.000000000e+00 0.000000000e+00
9.858723487e-01 3.171458401e-03 3.208556880e-03 3.158759261e-03 1.269913992e-05 0.000000000e+00 0.000000000e+00
1.045144288e+00 3.067124420e-03 3.099862339e-03 3.056470193e-03 1.065422696e-05 0.000000000e+00 0.000000000e+00
1.107979733e+00 2.906998102e-03 2.935326267e-03 2.898174029e-03 8.824073082e-06 0.000000000e+00 0.000000000e+00
1.174592928e+00 2.822766231e-03 2.847906111e-03 2.815220216e-03 7.546014131e-06 0.000000000e+00 0.000000000e+00
1.245210996e+00 2.717566365e-03 2.739722353e-03 2.711288531e-03 6.277833527e-06 0.000000000e+00 0.000000000e+00
1.320074714e+00 2.668021520e-03 2.687934551e-03 2.662721919e-03 5.299601292e-06 0.000000000e+00 0.000000000e+00
1.399439338e+00 2.621134994e-03 2.638991128e-03 2.616669388e-03 4.465606033e-06 2.692752942e-288 5.691345594e-291
1.483575466e+00 2.568684385e-03 2.584736067e-03 2.564895694e-03 3.788690853e-06 8.127913694e-270 1.095142873e-272
1.572769969e+00 2.625820061e-03 2.640741572e-03 2.622440829e-03 3.379232362e-06 2.038869643e-255 2.093282302e-258
1.667326963e+00 2.617480884e-03 2.631184465e-03 2.614626460e-03 2.854423628e-06 2.387837991e-240 2.689891156e-243
1.767568847e+00 2.477159053e-03 2.489155943e-03 2.474832944e-03 2.326109041e-06 2.405067580e-226 2.807225363e-229
1.873837405e+00 2.298642323e-03 2.308829347e-03 2.296831218e-03 1.811104842e-06 4.072732291e-214 3.699437864e-217
1.986494968e+00 2.141381392e-03 2.150154374e-03 2.139939297e-03 1.442094868e-06 2.801200180e-201 2.972349437e-204
2.105925651e+00 1.978993762e-03 1.986449834e-03 1.977855451e-03 1.138311390e-06 9.546894380e-190 6.068819474e-193
2.232536664e+00 1.804464950e-03 1.810691551e-03 1.803598580e-03 8.663708451e-07 1.380570737e-178 1.011631195e-181
2.366759696e+00 1.633830519e-03 1.639053655e-03 1.633165642e-03 6.648774543e-07 7.081952925e-168 3.520994595e-171
2.509052394e+00 1.393827267e-03 1.397947711e-03 1.393360035e-03 4.672311594e-07 1.808315510e-158 7.842805955e-162
2.659899915e+00 1.400139650e-03 1.403938020e-03 1.399751646e-03 3.880037484e-07 6.611294165e-150 2.247159953e-153
2.819816587e+00 1.349830058e-03 1.353202960e-03 1.349521424e-03 3.086340028e-07 8.454653743e-141 2.550056420e-144
2.989347660e+00 1.124609072e-03 1.127216851e-03 1.124398518e-03 2.105539036e-07 7.820237529e-133 1.929378892e-136
3.169071162e+00 1.011493573e-03 1.013663651e-03 1.011342885e-03 1.506882054e-07 7.790602137e-125 1.333578014e-128
3.359599877e+00 9.946212281e-04 9.965946138e-04 9.945055353e-04 1.156928197e-07 6.574059152e-118 9.740495058e-122
3.561583429e+00 9.253057338e-04 9.270116620e-04 9.252250475e-04 8.068629070e-08 7.950059554e-111 8.733333545e-115
3.775710497e+00 7.991779148e-04 8.005552973e-04 7.991273331e-04 5.058174378e-08 1.686911885e-104 8.766735638e-109
4.002711165e+00 7.278798528e-04 7.290484821e-04 7.278493970e-04 3.045577594e-08 2.350498279e-98 1.341035613e-102
4.243359411e+00 7.014782881e-04 7.025227982e-04 7.014615334e-04 1.675468453e-08 8.963306188e-93 6.360587444e-98
4.498475745e+00 5.881941374e-04 5.890136804e-04 5.881885112e-04 5.626203833e-09 2.925056664e-87 9.937423379e-94
4.768930007e+00 5.172118611e-04 5.178767818e-04 5.172109882e-04 8.729245498e-10 4.018912849e-82 1.559657600e-90
5.055644335e+00 4.652368606e-04 4.658007937e-04 4.652368402e-04 2.041200264e-11 2.965078525e-77 7.834228373e-91
5.359596304e+00 4.303082480e-04 4.307943005e-04 4.303082480e-04 0.000000000e+00 9.468270079e-73 0.000000000e+00
5.681822265e+00 3.950399632e-04 3.954622004e-04 3.950399632e-04 0.000000000e+00 1.592765549e-68 0.000000000e+00
6.023420872e+00 3.669968445e-04 3.673699228e-04 3.669968445e-04 0.000000000e+00 1.992926324e-64 0.000000000e+00
6.385556837e+00 3.248887653e-04 3.252054885e-04 3.248887653e-04 0.000000000e+00 1.423321416e-60 0.000000000e+00
6.769464890e+00 2.895171025e-04 2.897860841e-04 2.895171025e-04 0.000000000e+00 5.853458634e-57 0.000000000e+00
7.176453999e+00 2.599981467e-04 2.602385811e-04 2.599981467e-04 0.000000000e+00 1.530265934e-53 0.000000000e+00
7.607911827e+00 2.370595101e-04 2.373347554e-04 2.370595101e-04 0.000000000e+00 2.330396688e-50 0.000000000e+00
8.065309466e+00 2.134132827e-04 2.138607084e-04 2.134132827e-04 0.000000000e+00 2.606822799e-47 0.000000000e+00
8.550206451e+00 1.940948903e-04 1.948198422e-04 1.940948903e-04 0.000000000e+00 2.133911517e-44 0.000000000e+00
9.064256079e+00 1.796177088e-04 1.805877708e-04 1.796177088e-04 0.000000000e+00 1.175863824e-41 0.000000000e+00
9.609211044e+00 1.627805235e-04 1.638186697e-04 1.627805235e-04 0.000000000e+00 4.883423246e-39 0.000000000e+00
1.018692942e+01 1.466745802e-04 1.474997944e-04 1.466745802e-04 0.000000000e+00 1.185711066e-36 0.000000000e+00
1.079938098e+01 1.284424058e-04 1.290276039e-04 1.284424058e-04 0.000000000e+00 2.330621344e-34 0.000000000e+00
1.144865393e+01 1.117244301e-04 1.121160002e-04 1.117244301e-04 0.000000000e+00 3.088189701e-32 0.000000000e+00
1.213696202e+01 9.588164701e-05 9.613917817e-05 9.588164701e-05 0.000000000e+00 3.151383436e-30 0.000000000e+00
1.286665210e+01 8.510608215e-05 8.528184393e-05 8.510608215e-05 0.000000000e+00 2.568800256e-28 0.000000000e+00
1.364021210e+01 7.297907482e-05 7.309927770e-05 7.297907482e-05 0.000000000e+00 1.529816603e-26 0.000000000e+00
1.446027954e+01 6.403830796e-05 6.413729826e-05 6.403830796e-05 0.000000000e+00 8.685630559e-25 0.000000000e+00
1.532965052e+01 5.509699900e-05 5.519205912e-05 5.509699900e-05 0.000000000e+00 3.956286384e-23 0.000000000e+00
1.625128922e+01 4.819666349e-05 4.829385975e-05 4.819666349e-05 0.000000000e+00 1.521624715e-21 0.000000000e+00
1.722833804e+01 4.221048267e-05 4.230618578e-05 4.221048267e-05 0.000000000e+00 4.698781631e-20 0.000000000e+00
1.826412832e+01 3.651199373e-05 3.659868055e-05 3.651199373e-05 0.000000000e+00 1.149286496e-18 0.000000000e+00
1.936219168e+01 3.128503351e-05 3.135632605e-05 3.128503351e-05 0.000000000e+00 2.275571707e-17 0.000000000e+00
2.052627204e+01 2.757192263e-05 2.762808673e-05 2.757192263e-05 0.000000000e+00 3.624822984e-16 0.000000000e+00
2.176033844e+01 2.465394182e-05 2.469839952e-05 2.465394182e-05 0.000000000e+00 4.787607120e-15 0.000000000e+00
2.306859853e+01 2.181160915e-05 2.184714149e-05 2.181160909e-05 0.000000000e+00 5.546714739e-14 0.000000000e+00
2.445551294e+01 1.976432979e-05 1.979320621e-05 1.976432925e-05 0.000000000e+00 5.407847540e-13 0.000000000e+00
2.592581045e+01 1.765555374e-05 1.767889835e-05 1.765554904e-05 0.000000000e+00 4.705160845e-12 0.000000000e+00
2.748450419e+01 1.553740335e-05 1.555604724e-05 1.553736687e-05 0.000000000e+00 3.648383718e-11 0.000000000e+00
2.913690863e+01 1.392474209e-05 1.393973917e-05 1.392449681e-05 0.000000000e+00 2.452844879e-10 0.000000000e+00
3.088865780e+01 1.234752222e-05 1.235843718e-05 1.234609607e-05 0.000000000e+00 1.426145635e-09 0.000000000e+00
3.274572442e+01 1.115815220e-05 1.116058296e-05 1.115051931e-05 0.000000000e+00 7.632892959e-09 0.000000000e+00
3.471444033e+01 9.882345443e-06 9.854398524e-06 9.846179725e-06 0.000000000e+00 3.616571840e-08 0.000000000e+00
3.680151802e+01 8.873043892e-06 8.723907211e-06 8.717241172e-06 0.000000000e+00 1.558027194e-07 0.000000000e+00
3.901407356e+01 8.425025633e-06 7.836694390e-06 7.831288201e-06 0.000000000e+00 5.937374319e-07 0.000000000e+00
4.135965084e+01 9.040178992e-06 6.954972809e-06 6.950635487e-06 0.000000000e+00 2.089543505e-06 0.000000000e+00
4.384624730e+01 1.291469506e-05 6.186219961e-06 6.182739596e-06 0.000000000e+00 6.731955461e-06 0.000000000e+00
4.648234121e+01 2.521934684e-05 5.449380494e-06 5.446633612e-06 0.000000000e+00 1.977271323e-05 0.000000000e+00
4.927692053e+01 5.801311246e-05 4.831840269e-06 4.829661119e-06 0.000000000e+00 5.318345134e-05 0.000000000e+00
5.223951363e+01 1.399202653e-04 4.311747164e-06 4.310019462e-06 0.000000000e+00 1.356102459e-04 0.000000000e+00
5.538022172e+01 3.220952281e-04 3.871058854e-06 3.869682557e-06 0.000000000e+00 3.182255455e-04 0.000000000e+00
5.870975330e+01 7.151514252e-04 3.477693222e-06 3.476581101e-06 0.000000000e+00 7.116748441e-04 0.000000000e+00
6.223946068e+01 1.483412605e-03 3.100168747e-06 3.099291962e-06 0.000000000e+00 1.480313313e-03 0.000000000e+00
6.598137870e+01 2.926948543e-03 2.744986886e-06 2.744299579e-06 0.000000000e+00 2.924204243e-03 0.000000000e+00
6.994826574e+01 5.410013727e-03 2.429175763e-06 2.428636715e-06 0.000000000e+00 5.407585090e-03 0.000000000e+00
7.415364723e+01 9.628090377e-03 2.165962181e-06 2.165537181e-06 0.000000000e+00 9.625924840e-03 0.000000000e+00
7.861186177e+01 1.634807044e-02 1.922188581e-06 1.921852998e-06 0.000000000e+00 1.634614859e-02 0.000000000e+00
8.333811002e+01 2.615147702e-02 1.711276465e-06 1.711012989e-06 0.000000000e+00 2.614976601e-02 0.000000000e+00
8.834850651e+01 4.039682415e-02 1.526658808e-06 1.526450226e-06 0.000000000e+00 4.039529770e-02 0.000000000e+00
9.366013462e+01 6.006299105e-02 1.348205934e-06 1.348042287e-06 0.000000000e+00 6.006164301e-02 0.000000000e+00
9.929110477e+01 8.574775352e-02 7.766172167e-07 7.765318300e-07 0.000000000e+00 8.574697699e-02 0.000000000e+00
