# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.181446365e-04 3.379755696e-04 1.013655357e-04 1.677910081e-05 0.000000000e+00 0.000000000e+00
9.541091806e-02 6.637343326e-04 1.755463121e-03 5.632828384e-04 1.004514942e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 9.034310223e-04 2.090729764e-03 7.576312182e-04 1.457998041e-04 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.171615241e-03 2.373405168e-03 9.698524139e-04 2.017628273e-04 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.291571615e-03 2.376864023e-03 1.064327677e-03 2.272439377e-04 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.157836187e-03 1.997121927e-03 9.486409037e-04 2.091952834e-04 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.396965030e-03 2.300023393e-03 1.142931251e-03 2.540337796e-04 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.464278637e-03 2.334768824e-03 1.199544656e-03 2.647339803e-04 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.455122513e-03 2.240581526e-03 1.192952396e-03 2.621701169e-04 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.457804552e-03 2.167904642e-03 1.197621471e-03 2.601830812e-04 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.441329514e-03 2.095391978e-03 1.182278566e-03 2.590509480e-04 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.438349898e-03 2.077732045e-03 1.170607331e-03 2.677425677e-04 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.386460317e-03 2.023592901e-03 1.111423468e-03 2.750368495e-04 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.298460391e-03 1.958985917e-03 1.020464885e-03 2.779955062e-04 0.000000000e+00 0.000000000e+00
