# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 9.073291657e-03 3.361786253e-02 7.904481447e-03 1.168810211e-03 0.000000000e+00 0.000000000e+00
9.541091806e-02 5.107380291e-02 1.752546333e-01 4.408087371e-02 6.992929198e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 7.187486441e-02 2.098594606e-01 6.110934075e-02 1.076552367e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 9.707569580e-02 2.383307977e-01 8.145826361e-02 1.561743219e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.118437711e-01 2.374854606e-01 9.344568923e-02 1.839808187e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.038195740e-01 1.995196767e-01 8.705362704e-02 1.676594700e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.299938215e-01 2.300935042e-01 1.093819208e-01 2.061190068e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.398140883e-01 2.330721173e-01 1.187949337e-01 2.101915467e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.407765930e-01 2.239166940e-01 1.212512839e-01 1.952530908e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.424808280e-01 2.169958120e-01 1.234228481e-01 1.905797989e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.409330585e-01 2.099497237e-01 1.222725037e-01 1.866055476e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.376980389e-01 2.070566513e-01 1.193577129e-01 1.834032603e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.285458698e-01 2.023863440e-01 1.114594340e-01 1.708643579e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.135491865e-01 1.968753712e-01 9.872722672e-02 1.482195979e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 9.626560652e-02 1.883059817e-01 8.399819208e-02 1.226741445e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 9.215423077e-02 1.868009993e-01 8.031947286e-02 1.183475791e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 9.874655945e-02 1.783959944e-01 8.529248216e-02 1.345407730e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.083989479e-01 1.703337961e-01 9.329863132e-02 1.510031660e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.165551978e-01 1.678393478e-01 1.008993300e-01 1.565586782e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.215140128e-01 1.665291965e-01 1.064246651e-01 1.508934773e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.269920992e-01 1.682413748e-01 1.126312890e-01 1.436081024e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.310077153e-01 1.687407881e-01 1.173179342e-01 1.368978113e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.335651237e-01 1.684214646e-01 1.207092679e-01 1.285585583e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.373059131e-01 1.698727573e-01 1.250851622e-01 1.222075097e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.473336055e-01 1.793894308e-01 1.352210474e-01 1.211255814e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.281909297e-01 2.740526740e-01 2.109891036e-01 1.720182616e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 2.788775478e-01 3.300294463e-01 2.595733902e-01 1.930415763e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 2.726879297e-01 3.180578468e-01 2.553572340e-01 1.733069566e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 2.907329142e-01 3.345900049e-01 2.737431838e-01 1.698973042e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 2.794353824e-01 3.179501635e-01 2.645500753e-01 1.488530713e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 2.843180428e-01 3.200159984e-01 2.705697277e-01 1.374831502e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 2.898521833e-01 3.230325775e-01 2.772479719e-01 1.260421140e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 2.949370006e-01 3.256346651e-01 2.834425614e-01 1.149443929e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 3.002979121e-01 3.289626818e-01 2.898667898e-01 1.043112230e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 2.972448476e-01 3.234156945e-01 2.879051752e-01 9.339672390e-03 0.000000000e+00 0.000000000e+00
6.945240582e-01 3.062983139e-01 3.309234873e-01 2.977668419e-01 8.531472032e-03 0.000000000e+00 0.000000000e+00
7.362797556e-01 3.067749754e-01 3.293553685e-01 2.992076882e-01 7.567287204e-03 0.000000000e+00 0.000000000e+00
7.805458603e-01 3.066950756e-01 3.271920402e-01 2.999625301e-01 6.732545470e-03 0.000000000e+00 0.000000000e+00
8.274733014e-01 3.069341769e-01 3.257492421e-01 3.009696237e-01 5.964553168e-03 0.000000000e+00 0.000000000e+00
8.772220817e-01 3.092332215e-01 3.263777837e-01 3.038971571e-01 5.336064493e-03 0.000000000e+00 0.000000000e+00
9.299618239e-01 3.111589795e-01 3.269238421e-01 3.064401201e-01 4.718859417e-03 0.000000000e+00 0.000000000e+00
9.858723487e-01 3.070951988e-01 3.213016150e-01 3.030269723e-01 4.068226528e-03 8.176800341e-164 1.493662319e-165
1.045144288e+00 2.957100942e-01 3.081271535e-01 2.922948012e-01 3.415293019e-03 3.842716654e-154 5.197754586e-156
1.107979733e+00 2.822189615e-01 2.930001063e-01 2.793411982e-01 2.877763370e-03 7.053092827e-145 9.330091430e-147
1.174592928e+00 2.753706815e-01 2.849801007e-01 2.728907645e-01 2.479917078e-03 1.813980150e-136 1.906548338e-138
1.245210996e+00 2.632067403e-01 2.715904349e-01 2.611478293e-01 2.058911048e-03 3.152642351e-128 4.047921251e-130
1.320074714e+00 2.604631401e-01 2.680269634e-01 2.587066522e-01 1.756487852e-03 8.978146024e-121 6.647254508e-123
1.399439338e+00 2.576651024e-01 2.644194299e-01 2.561562709e-01 1.508831465e-03 1.980214256e-113 1.299265018e-115
1.483575466e+00 2.550685167e-01 2.612096891e-01 2.537766434e-01 1.291873290e-03 5.397731194e-107 3.038375777e-109
1.572769969e+00 2.588632107e-01 2.644956950e-01 2.577189132e-01 1.144297467e-03 1.221805039e-100 6.336300938e-103
1.667326963e+00 2.584222029e-01 2.636104682e-01 2.574311031e-01 9.910997873e-04 1.627365754e-94 6.538781527e-97
1.767568847e+00 2.450894349e-01 2.496006210e-01 2.442804414e-01 8.089935286e-04 3.037680154e-89 1.151676095e-91
1.873837405e+00 2.269993154e-01 2.308240238e-01 2.263625057e-01 6.368096494e-04 1.200317085e-83 3.944315146e-86
1.986494968e+00 2.155697380e-01 2.188803933e-01 2.150513204e-01 5.184176024e-04 9.567200161e-79 2.560718793e-81
2.105925651e+00 1.948646050e-01 1.976002480e-01 1.944644914e-01 4.001136590e-04 4.533772159e-74 1.150946090e-76
2.232536664e+00 1.795504120e-01 1.818765172e-01 1.792329787e-01 3.174333254e-04 1.628389069e-69 3.326019431e-72
2.366759696e+00 1.620255503e-01 1.639436879e-01 1.617852855e-01 2.402648494e-04 3.235175865e-65 5.404900998e-68
2.509052394e+00 1.380494022e-01 1.395587950e-01 1.378770602e-01 1.723420367e-04 2.604747099e-61 3.889379197e-64
2.659899915e+00 1.382427120e-01 1.396195124e-01 1.380990260e-01 1.436860508e-04 1.559424093e-57 1.826320560e-60
2.819816587e+00 1.334285592e-01 1.346527201e-01 1.333115644e-01 1.169948807e-04 5.148122047e-54 5.248314818e-57
2.989347660e+00 1.136790712e-01 1.146354554e-01 1.135952631e-01 8.380813453e-05 1.143329876e-50 9.936359776e-54
3.169071162e+00 1.007052902e-01 1.014743237e-01 1.006438582e-01 6.143197714e-05 1.676260090e-47 1.173429996e-50
3.359599877e+00 9.875760228e-02 9.945558449e-02 9.870835113e-02 4.925114961e-05 1.584417064e-44 9.373872449e-48
3.561583429e+00 9.357875886e-02 9.418257259e-02 9.354031269e-02 3.844616852e-05 9.873315666e-42 4.598666054e-45
3.775710497e+00 7.865818132e-02 7.912450905e-02 7.863206472e-02 2.611660798e-05 4.463542163e-39 1.772529885e-42
4.002711165e+00 7.205941092e-02 7.245380351e-02 7.204013347e-02 1.927744938e-05 1.337162804e-36 4.198889277e-40
4.243359411e+00 6.946691391e-02 6.981777904e-02 6.945196436e-02 1.494954809e-05 3.095106098e-34 7.817974979e-38
4.498475745e+00 5.834164409e-02 5.861323650e-02 5.833183093e-02 9.813164830e-06 5.139340226e-32 1.046149207e-35
4.768930007e+00 5.198239551e-02 5.220615474e-02 5.197570355e-02 6.691965256e-06 6.055234526e-30 9.670423076e-34
5.055644335e+00 4.644723440e-02 4.663156111e-02 4.644267925e-02 4.555152701e-06 5.583854970e-28 6.485000620e-32
5.359596304e+00 4.317308054e-02 4.333233197e-02 4.317011164e-02 2.968899765e-06 4.155619563e-26 3.098691012e-30
5.681822265e+00 3.944795828e-02 3.958480715e-02 3.944619619e-02 1.762089876e-06 2.197961970e-24 8.841756251e-29
6.023420872e+00 3.664559587e-02 3.676507437e-02 3.664473125e-02 8.646188800e-07 9.663561578e-23 1.506977301e-27
6.385556837e+00 3.256647419e-02 3.266650074e-02 3.256618743e-02 2.867606811e-07 3.416963375e-21 8.300666139e-27
6.769464890e+00 2.914804437e-02 2.923229313e-02 2.914800895e-02 3.541379523e-08 9.966778253e-20 9.758823705e-27
7.176453999e+00 2.615253674e-02 2.622578039e-02 2.615253673e-02 6.553398811e-12 2.387950238e-18 6.310766085e-28
7.607911827e+00 2.347070999e-02 2.354631030e-02 2.347070999e-02 0.000000000e+00 4.834199217e-17 0.000000000e+00
8.065309466e+00 2.160892083e-02 2.172008251e-02 2.160892083e-02 0.000000000e+00 8.336884985e-16 0.000000000e+00
8.550206451e+00 1.934714262e-02 1.951495896e-02 1.934714262e-02 0.000000000e+00 1.428730377e-14 0.000000000e+00
9.064256079e+00 1.788331931e-02 1.810028364e-02 1.788331931e-02 0.000000000e+00 1.979020768e-13 0.000000000e+00
9.609211044e+00 1.616125046e-02 1.639138378e-02 1.616125046e-02 0.000000000e+00 2.366400787e-12 0.000000000e+00
1.018692942e+01 1.447951668e-02 1.465973811e-02 1.447951666e-02 0.000000000e+00 2.249031412e-11 0.000000000e+00
1.079938098e+01 1.274432238e-02 1.287275197e-02 1.274432220e-02 0.000000000e+00 1.765061474e-10 0.000000000e+00
1.144865393e+01 1.108161614e-02 1.116935599e-02 1.108161497e-02 0.000000000e+00 1.163653864e-09 0.000000000e+00
1.213696202e+01 9.573068550e-03 9.631531630e-03 9.573061489e-03 0.000000000e+00 7.060973630e-09 0.000000000e+00
1.286665210e+01 8.388726028e-03 8.428643592e-03 8.388688382e-03 0.000000000e+00 3.764574130e-08 0.000000000e+00
1.364021210e+01 7.224693413e-03 7.252682721e-03 7.224508595e-03 0.000000000e+00 1.848174867e-07 0.000000000e+00
1.446027954e+01 6.347351766e-03 6.369894894e-03 6.346442067e-03 0.000000000e+00 9.096991102e-07 0.000000000e+00
1.532965052e+01 5.531135399e-03 5.549209655e-03 5.526725359e-03 0.000000000e+00 4.410039267e-06 0.000000000e+00
1.625128922e+01 4.823462101e-03 4.826008276e-03 4.803644278e-03 0.000000000e+00 1.981782264e-05 0.000000000e+00
1.722833804e+01 4.199777826e-03 4.140179478e-03 4.118850556e-03 0.000000000e+00 8.092727037e-05 0.000000000e+00
1.826412832e+01 3.929002947e-03 3.657313716e-03 3.637513769e-03 0.000000000e+00 2.914891777e-04 0.000000000e+00
