# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.098108439e-02 3.358714033e-02 9.366685700e-03 1.614398688e-03 0.000000000e+00 0.000000000e+00
9.541091806e-02 6.244732278e-02 1.755493056e-01 5.279227373e-02 9.655049051e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 8.704030466e-02 2.090937476e-01 7.221427920e-02 1.482602546e-02 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.152792517e-01 2.373042541e-01 9.434461841e-02 2.093463333e-02 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.290146717e-01 2.380969686e-01 1.052062609e-01 2.380841076e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.154840454e-01 1.993351734e-01 9.388413418e-02 2.159991117e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.396584601e-01 2.297427253e-01 1.134003161e-01 2.625814397e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.464419533e-01 2.336382342e-01 1.190238953e-01 2.741805791e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.441330550e-01 2.241498035e-01 1.177259712e-01 2.640708376e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 1.435130093e-01 2.173151088e-01 1.176847467e-01 2.582826265e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 1.398081062e-01 2.103372205e-01 1.149309179e-01 2.487718829e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 1.364614178e-01 2.078204757e-01 1.114790530e-01 2.498236484e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.280439047e-01 2.025712984e-01 1.036876841e-01 2.435622062e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.164771307e-01 1.966108009e-01 9.321095229e-02 2.326617837e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.030932341e-01 1.889021079e-01 8.159102946e-02 2.150220468e-02 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.012502914e-01 1.870145809e-01 7.859665018e-02 2.265364118e-02 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.064422987e-01 1.784740765e-01 8.072044753e-02 2.572185119e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.132083257e-01 1.710767899e-01 8.362470321e-02 2.958362249e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.174255164e-01 1.674990383e-01 8.618785868e-02 3.123765775e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 1.201388758e-01 1.657940404e-01 8.749141808e-02 3.264745770e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 1.245696225e-01 1.689997769e-01 9.112159659e-02 3.344802593e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 1.268365623e-01 1.691558868e-01 9.291400677e-02 3.392255556e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 1.274928359e-01 1.681372276e-01 9.311291670e-02 3.437991917e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 1.294073245e-01 1.694565919e-01 9.424250913e-02 3.516481536e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 1.377977003e-01 1.784075946e-01 1.003074076e-01 3.749029266e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 2.134610222e-01 2.743064582e-01 1.557860514e-01 5.767497084e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 2.576218849e-01 3.292540841e-01 1.891233533e-01 6.849853162e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 2.520541844e-01 3.198728296e-01 1.853916698e-01 6.666251460e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 2.637515838e-01 3.327191290e-01 1.941676259e-01 6.958395794e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 2.519910907e-01 3.158479459e-01 1.862186204e-01 6.577247023e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 2.590736311e-01 3.230074654e-01 1.932875937e-01 6.578603735e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 2.614481508e-01 3.229665118e-01 1.958568665e-01 6.559128430e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 2.667870538e-01 3.267938940e-01 2.005438961e-01 6.624315771e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 2.686375182e-01 3.276517554e-01 2.034176993e-01 6.521981893e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 2.696885856e-01 3.262184067e-01 2.048436057e-01 6.484497992e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 2.762383276e-01 3.318343645e-01 2.122486163e-01 6.398971130e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 2.752925682e-01 3.267725195e-01 2.137204483e-01 6.157211995e-02 0.000000000e+00 0.000000000e+00
7.805458603e-01 2.782905151e-01 3.278793998e-01 2.180422615e-01 6.024825362e-02 0.000000000e+00 0.000000000e+00
8.274733014e-01 2.764052327e-01 3.244440227e-01 2.182760963e-01 5.812913636e-02 0.000000000e+00 0.000000000e+00
8.772220817e-01 2.827061368e-01 3.287291613e-01 2.252692707e-01 5.743686608e-02 0.000000000e+00 0.000000000e+00
9.299618239e-01 2.842254239e-01 3.284290448e-01 2.292719402e-01 5.495348369e-02 0.000000000e+00 0.000000000e+00
9.858723487e-01 2.807337424e-01 3.217396362e-01 2.300875903e-01 5.064615213e-02 2.072747573e-140 3.126042667e-141
1.045144288e+00 2.720724886e-01 3.095254460e-01 2.260501149e-01 4.602237372e-02 2.019207479e-132 5.936970418e-133
1.107979733e+00 2.585719201e-01 2.925780938e-01 2.169997845e-01 4.157213553e-02 7.913961377e-125 1.885202599e-125
