# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 1.042630131e-03 3.369988619e-02 9.104789647e-04 1.321511667e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 5.550828325e-03 1.754732461e-01 4.756462979e-03 7.943653452e-04 0.000000000e+00 0.000000000e+00
1.011471476e-01 7.842951115e-03 2.094377386e-01 6.584555811e-03 1.258395304e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 1.091080610e-02 2.380066665e-01 8.878352734e-03 2.032453370e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 1.314952035e-02 2.380862177e-01 1.041997326e-02 2.729547092e-03 0.000000000e+00 0.000000000e+00
1.205092367e-01 1.270904477e-02 1.993394478e-01 9.919661520e-03 2.789383246e-03 0.000000000e+00 0.000000000e+00
1.277544101e-01 1.652792207e-02 2.298031785e-01 1.265556404e-02 3.872358030e-03 0.000000000e+00 0.000000000e+00
1.354351729e-01 1.845927983e-02 2.334639098e-01 1.405246778e-02 4.406812055e-03 0.000000000e+00 0.000000000e+00
1.435777131e-01 1.971710383e-02 2.243058611e-01 1.495833654e-02 4.758767296e-03 0.000000000e+00 0.000000000e+00
1.522097936e-01 2.109882564e-02 2.179190205e-01 1.592428382e-02 5.174541829e-03 0.000000000e+00 0.000000000e+00
1.613608460e-01 2.149858637e-02 2.110328193e-01 1.611703841e-02 5.381547960e-03 0.000000000e+00 0.000000000e+00
1.710620718e-01 2.033001056e-02 2.077634408e-01 1.526484745e-02 5.065163107e-03 0.000000000e+00 0.000000000e+00
1.813465479e-01 1.804912212e-02 2.025927052e-01 1.379158728e-02 4.257534839e-03 0.000000000e+00 0.000000000e+00
1.922493402e-01 1.434519325e-02 1.964349437e-01 1.136011504e-02 2.985078207e-03 0.000000000e+00 0.000000000e+00
2.038076228e-01 1.118460230e-02 1.877240334e-01 9.193091307e-03 1.991510994e-03 0.000000000e+00 0.000000000e+00
2.160608044e-01 1.054525127e-02 1.881648716e-01 8.705745873e-03 1.839505398e-03 0.000000000e+00 0.000000000e+00
2.290506634e-01 1.203224221e-02 1.790111940e-01 9.558701961e-03 2.473540247e-03 0.000000000e+00 0.000000000e+00
2.428214897e-01 1.498743407e-02 1.701650603e-01 1.136854576e-02 3.618888312e-03 0.000000000e+00 0.000000000e+00
2.574202362e-01 1.810637167e-02 1.677415315e-01 1.319374600e-02 4.912625676e-03 0.000000000e+00 0.000000000e+00
2.728966785e-01 2.057881861e-02 1.660237749e-01 1.492709062e-02 5.651727992e-03 0.000000000e+00 0.000000000e+00
2.893035848e-01 2.323651730e-02 1.681865315e-01 1.690836028e-02 6.328157016e-03 0.000000000e+00 0.000000000e+00
3.066968958e-01 2.504501370e-02 1.676272667e-01 1.820825347e-02 6.836760231e-03 0.000000000e+00 0.000000000e+00
3.251359155e-01 2.747030130e-02 1.687747828e-01 2.002190875e-02 7.448392556e-03 0.000000000e+00 0.000000000e+00
3.446835132e-01 2.959163079e-02 1.689821507e-01 2.167183698e-02 7.919793807e-03 0.000000000e+00 0.000000000e+00
3.654063382e-01 3.355661455e-02 1.791668376e-01 2.468884919e-02 8.867765361e-03 0.000000000e+00 0.000000000e+00
3.873750465e-01 5.488356955e-02 2.742404666e-01 4.064305789e-02 1.424051166e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 7.072340659e-02 3.267926935e-01 5.273438914e-02 1.798901745e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 7.486782438e-02 3.201214494e-01 5.614493074e-02 1.872289364e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 8.397122762e-02 3.331006953e-01 6.321574773e-02 2.075547990e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 8.662462412e-02 3.165977527e-01 6.574921025e-02 2.087541387e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 9.427265986e-02 3.215077044e-01 7.217945428e-02 2.209320558e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 1.026267506e-01 3.246123503e-01 7.956795366e-02 2.305879695e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 1.106058673e-01 3.272682177e-01 8.695479176e-02 2.365107550e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 1.184326824e-01 3.294249171e-01 9.414149445e-02 2.429118792e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 1.236721937e-01 3.222855333e-01 9.946109580e-02 2.421109794e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 1.345593527e-01 3.303674793e-01 1.099113410e-01 2.464801166e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 1.440219634e-01 3.309803324e-01 1.193186797e-01 2.470328365e-02 0.000000000e+00 0.000000000e+00
7.805458603e-01 1.504374090e-01 3.274155926e-01 1.264076580e-01 2.402975105e-02 0.000000000e+00 0.000000000e+00
8.274733014e-01 1.575261067e-01 3.259642669e-01 1.339411784e-01 2.358492828e-02 0.000000000e+00 0.000000000e+00
8.772220817e-01 1.671595694e-01 3.265584889e-01 1.439851815e-01 2.317438785e-02 0.000000000e+00 0.000000000e+00
9.299618239e-01 1.776341704e-01 3.292217058e-01 1.548656242e-01 2.276854616e-02 0.000000000e+00 0.000000000e+00
9.858723487e-01 1.821567828e-01 3.224376201e-01 1.608328251e-01 2.132395777e-02 1.011344833e-128 1.017023043e-129
1.045144288e+00 1.830911850e-01 3.088073129e-01 1.635502862e-01 1.954089877e-02 2.534245318e-122 1.398373017e-123
1.107979733e+00 1.807526407e-01 2.929801542e-01 1.632068550e-01 1.754578566e-02 5.264371991e-115 3.285808715e-116
1.174592928e+00 1.809713015e-01 2.832925286e-01 1.648849814e-01 1.608632005e-02 8.282624457e-109 1.037668187e-109
1.245210996e+00 1.813212993e-01 2.722898826e-01 1.668821669e-01 1.443913235e-02 3.793997001e-101 2.357205611e-102
1.320074714e+00 1.844647779e-01 2.683317423e-01 1.713883651e-01 1.307641288e-02 2.116379759e-96 1.256741812e-97
1.399439338e+00 1.878509246e-01 2.652013347e-01 1.759916721e-01 1.185925251e-02 9.782661616e-91 8.109756684e-92
1.483575466e+00 1.896489307e-01 2.600343497e-01 1.790995448e-01 1.054938590e-02 2.356455736e-85 1.513651809e-86
1.572769969e+00 1.971234799e-01 2.633449056e-01 1.872070043e-01 9.916475554e-03 1.981127740e-79 4.374885089e-81
1.667326963e+00 2.019130314e-01 2.639781917e-01 1.930202744e-01 8.892757008e-03 2.116742840e-75 9.723757121e-77
1.767568847e+00 1.970425944e-01 2.517363943e-01 1.894525720e-01 7.590022387e-03 2.644973868e-70 1.004787868e-71
1.873837405e+00 1.839871548e-01 2.301779467e-01 1.778633496e-01 6.123805176e-03 1.001257203e-66 2.527811008e-68
1.986494968e+00 1.745375763e-01 2.147811648e-01 1.694918007e-01 5.045775548e-03 2.246788957e-62 5.208438510e-64
2.105925651e+00 1.654915320e-01 2.003637760e-01 1.613396077e-01 4.151924341e-03 1.685275507e-58 4.825993271e-60
2.232536664e+00 1.520539596e-01 1.810168841e-01 1.487325393e-01 3.321420308e-03 1.003514019e-54 1.180291603e-56
2.366759696e+00 1.393677591e-01 1.637603659e-01 1.367627935e-01 2.604965560e-03 5.335300517e-52 1.005257038e-53
2.509052394e+00 1.212997859e-01 1.406529794e-01 1.193804907e-01 1.919295183e-03 1.066941176e-48 1.232745036e-50
2.659899915e+00 1.211206704e-01 1.388237532e-01 1.195015941e-01 1.619076309e-03 9.562756504e-46 1.172747310e-47
2.819816587e+00 1.206112130e-01 1.367507351e-01 1.192331576e-01 1.378055469e-03 4.023352064e-43 4.729357864e-45
2.989347660e+00 1.011640249e-01 1.135941014e-01 1.002064624e-01 9.575625773e-04 4.889965405e-40 3.010643242e-42
3.169071162e+00 9.047148995e-02 1.006337388e-01 8.974858299e-02 7.229069559e-04 8.512042905e-38 6.270304711e-40
3.359599877e+00 9.011572032e-02 9.940644748e-02 8.952259831e-02 5.931220083e-04 1.798629957e-35 9.942722710e-38
3.561583429e+00 8.635184981e-02 9.445943580e-02 8.587609125e-02 4.757585579e-04 3.989061802e-33 2.440971342e-35
3.775710497e+00 7.321150569e-02 7.952101806e-02 7.287836880e-02 3.331368932e-04 3.486954724e-31 1.604502051e-33
