# column 1: wavelength (micron)
# column 2: total flux; F_nu (Jy)
# column 3: transparent flux; F_nu (Jy)
# column 4: direct primary flux; F_nu (Jy)
# column 5: scattered primary flux; F_nu (Jy)
# column 6: direct secondary flux; F_nu (Jy)
# column 7: scattered secondary flux; F_nu (Jy)
9.000000000e-02 2.851279804e-03 3.376404315e-02 2.392897654e-03 4.583821499e-04 0.000000000e+00 0.000000000e+00
9.541091806e-02 1.629916571e-02 1.759414108e-01 1.343859750e-02 2.860568203e-03 0.000000000e+00 0.000000000e+00
1.011471476e-01 2.354017562e-02 2.094776139e-01 1.867119000e-02 4.868985613e-03 0.000000000e+00 0.000000000e+00
1.072282468e-01 3.302855037e-02 2.371948589e-01 2.511255094e-02 7.915999437e-03 0.000000000e+00 0.000000000e+00
1.136749497e-01 3.953263076e-02 2.380275895e-01 2.898419742e-02 1.054843334e-02 0.000000000e+00 0.000000000e+00
1.205092367e-01 3.730798466e-02 1.991238547e-01 2.687846198e-02 1.042952269e-02 0.000000000e+00 0.000000000e+00
1.277544101e-01 4.669375491e-02 2.294788332e-01 3.284904159e-02 1.384471331e-02 0.000000000e+00 0.000000000e+00
1.354351729e-01 5.106571743e-02 2.339922761e-01 3.537731255e-02 1.568840488e-02 0.000000000e+00 0.000000000e+00
1.435777131e-01 5.158942791e-02 2.236362778e-01 3.551592498e-02 1.607350293e-02 0.000000000e+00 0.000000000e+00
1.522097936e-01 5.255191418e-02 2.171765253e-01 3.586319590e-02 1.668871828e-02 0.000000000e+00 0.000000000e+00
1.613608460e-01 5.217251906e-02 2.109253401e-01 3.568526199e-02 1.648725706e-02 0.000000000e+00 0.000000000e+00
1.710620718e-01 4.964684032e-02 2.075022928e-01 3.398499151e-02 1.566184881e-02 0.000000000e+00 0.000000000e+00
1.813465479e-01 4.488313083e-02 2.026395855e-01 3.057196764e-02 1.431116319e-02 0.000000000e+00 0.000000000e+00
1.922493402e-01 3.797469314e-02 1.959898965e-01 2.623971589e-02 1.173497724e-02 0.000000000e+00 0.000000000e+00
2.038076228e-01 3.135545260e-02 1.891894620e-01 2.198502582e-02 9.370426778e-03 0.000000000e+00 0.000000000e+00
2.160608044e-01 3.033810207e-02 1.870404059e-01 2.095532011e-02 9.382781960e-03 0.000000000e+00 0.000000000e+00
2.290506634e-01 3.488504396e-02 1.787479505e-01 2.236049668e-02 1.252454728e-02 0.000000000e+00 0.000000000e+00
2.428214897e-01 4.040065966e-02 1.706524907e-01 2.379557379e-02 1.660508587e-02 0.000000000e+00 0.000000000e+00
2.574202362e-01 4.561489704e-02 1.671677954e-01 2.530422115e-02 2.031067588e-02 0.000000000e+00 0.000000000e+00
2.728966785e-01 4.929284391e-02 1.659992714e-01 2.638720629e-02 2.290563762e-02 0.000000000e+00 0.000000000e+00
2.893035848e-01 5.150900821e-02 1.674692427e-01 2.729899326e-02 2.421001496e-02 0.000000000e+00 0.000000000e+00
3.066968958e-01 5.421752829e-02 1.681996225e-01 2.814566947e-02 2.607185882e-02 0.000000000e+00 0.000000000e+00
3.251359155e-01 5.550900655e-02 1.680079104e-01 2.857811552e-02 2.693089102e-02 0.000000000e+00 0.000000000e+00
3.446835132e-01 5.788151170e-02 1.706899546e-01 2.922462279e-02 2.865688891e-02 0.000000000e+00 0.000000000e+00
3.654063382e-01 6.197242631e-02 1.797589407e-01 3.089234879e-02 3.108007752e-02 0.000000000e+00 0.000000000e+00
3.873750465e-01 9.659109066e-02 2.744736384e-01 4.815628774e-02 4.843480292e-02 0.000000000e+00 0.000000000e+00
4.106645425e-01 1.178740350e-01 3.277023645e-01 5.874393161e-02 5.913010343e-02 0.000000000e+00 0.000000000e+00
4.353542335e-01 1.177868685e-01 3.193809660e-01 5.830482202e-02 5.948204650e-02 0.000000000e+00 0.000000000e+00
4.615283011e-01 1.256123439e-01 3.346016226e-01 6.170537826e-02 6.390696564e-02 0.000000000e+00 0.000000000e+00
4.892759879e-01 1.207224882e-01 3.155928448e-01 5.952859152e-02 6.119389667e-02 0.000000000e+00 0.000000000e+00
5.186919022e-01 1.251883357e-01 3.209207918e-01 6.237133218e-02 6.281700353e-02 0.000000000e+00 0.000000000e+00
5.498763397e-01 1.307187720e-01 3.229257625e-01 6.495560745e-02 6.576316451e-02 0.000000000e+00 0.000000000e+00
5.829356266e-01 1.340363803e-01 3.272913483e-01 6.673478165e-02 6.730159868e-02 0.000000000e+00 0.000000000e+00
6.179824811e-01 1.383697409e-01 3.287169799e-01 6.863023962e-02 6.973950124e-02 0.000000000e+00 0.000000000e+00
6.551363985e-01 1.390357069e-01 3.238641997e-01 6.960973486e-02 6.942597205e-02 0.000000000e+00 0.000000000e+00
6.945240582e-01 1.468933539e-01 3.325091949e-01 7.458786897e-02 7.230548493e-02 0.000000000e+00 0.000000000e+00
7.362797556e-01 1.499744180e-01 3.292957871e-01 7.685908983e-02 7.311532818e-02 0.000000000e+00 0.000000000e+00
7.805458603e-01 1.539517338e-01 3.284832608e-01 8.004986191e-02 7.390187187e-02 0.000000000e+00 0.000000000e+00
8.274733014e-01 1.568426332e-01 3.240959570e-01 8.186467031e-02 7.497796286e-02 0.000000000e+00 0.000000000e+00
